"operation","neo-mean","neo-stdev","neo-min","neo-max"
"OperationOpenGraph","2.94026773E8","0.0","2.94026773E8","2.94026773E8"
"OperationDoGC","1.9080105392142856E9","1.50393651073146E8","1.511389579E9","2.045691357E9"
"OperationGetManyVertices","26458.76","7765.3987574624925","18491.0","75870.0"
"OperationGetManyEdges","40827.03","20277.179772076288","22689.0","148370.0"
"OperationGetFirstNeighbor-out","246299.59","57922.17423665915","130033.0","360102.0"
"OperationGetAllNeighbors-out","250938.57","71308.78530086669","112847.0","400291.0"
"OperationGetFirstNeighbor-in","224535.55","59493.707700121544","138957.0","344458.0"
"OperationGetAllNeighbors-in","311893.8","72208.1030552666","168900.0","635808.0"
"OperationGetFirstNeighbor-both","319280.84","798437.0877626206","110574.0","8173363.0"
"OperationGetAllNeighbors-both","239553.82","68529.9269584289","119771.0","453399.0"
"OperationGetManyVertexProperties-title","3948459.55","1785685.8597385557","1705475.0","9237917.0"
"OperationGetManyVertexProperties-salesrank","1148687.6","308924.3611744467","476887.0","1974336.0"
"OperationGetManyVertexProperties-group","837557.23","277458.923712677","455373.0","1601097.0"
"OperationGetManyVertexPropertySets","2112057.28","350402.715069278","905489.0","2587145.0"
"OperationShutdownGraph","5.93433291E8","0.0","5.93433291E8","5.93433291E8"
