operation                                   neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                294.027            0.000       294.027         294.027    
OperationDoGC                                    1908.011          150.394      1511.390        2045.691    
OperationGetManyVertices                            0.026            0.008         0.018           0.076    
OperationGetManyEdges                               0.041            0.020         0.023           0.148    
OperationGetFirstNeighbor-out                       0.246            0.058         0.130           0.360    
OperationGetAllNeighbors-out                        0.251            0.071         0.113           0.400    
OperationGetFirstNeighbor-in                        0.225            0.059         0.139           0.344    
OperationGetAllNeighbors-in                         0.312            0.072         0.169           0.636    
OperationGetFirstNeighbor-both                      0.319            0.798         0.111           8.173    
OperationGetAllNeighbors-both                       0.240            0.069         0.120           0.453    
OperationGetManyVertexProperties-title              3.948            1.786         1.705           9.238    
OperationGetManyVertexProperties-salesrank          1.149            0.309         0.477           1.974    
OperationGetManyVertexProperties-group              0.838            0.277         0.455           1.601    
OperationGetManyVertexPropertySets                  2.112            0.350         0.905           2.587    
OperationShutdownGraph                            593.433            0.000       593.433         593.433    
