"operation","neo-mean","neo-stdev","neo-min","neo-max"
"OperationOpenGraph","3.83686132E8","0.0","3.83686132E8","3.83686132E8"
"OperationDoGC","2.2038606014857144E9","2.4935536089943627E8","1.511127112E9","2.479715239E9"
"OperationGetManyVertices","52823.0","0.0","52823.0","52823.0"
"OperationGetManyEdges","328533.0","0.0","328533.0","328533.0"
"OperationGetFirstNeighbor-out","150504.1","70204.68613910327","56816.0","492925.0"
"OperationGetAllNeighbors-out","125959.72","45089.952077171234","50348.0","274959.0"
"OperationGetFirstNeighbor-in","87352.56","48369.2623291528","33744.0","395136.0"
"OperationGetAllNeighbors-in","96812.13","34809.04437718882","36776.0","269376.0"
"OperationGetFirstNeighbor-both","87807.68","48765.10279141837","46456.0","390919.0"
"OperationGetAllNeighbors-both","96196.93","38323.92436722915","35881.0","246098.0"
"OperationGetKHopNeighbors-out-1","83281.89","31520.547326750213","35196.0","260898.0"
"OperationGetKHopNeighbors-out-2","608034.73","648486.4034868095","39895.0","3242782.0"
"OperationGetKHopNeighbors-out-3","2052602.05","1706544.7940670666","47460.0","1.2351335E7"
"OperationGetKHopNeighbors-out-4","4433505.7","3573276.571597862","42482.0","1.679801E7"
"OperationGetKHopNeighbors-out-5","7373300.99","6045752.387115999","39285.0","3.1941739E7"
"OperationGetKHopNeighbors-in-1","57190.65","22360.74407902162","20579.0","131725.0"
"OperationGetKHopNeighbors-in-2","198455.54","147905.95612519598","43571.0","687286.0"
"OperationGetKHopNeighbors-in-3","602953.42","1210503.7544127663","48951.0","9951103.0"
"OperationGetKHopNeighbors-in-4","2098537.95","2907742.455474461","116732.0","1.6781511E7"
"OperationGetKHopNeighbors-in-5","5271804.91","1.0925329141438155E7","119366.0","9.3663332E7"
"OperationGetKHopNeighbors-both-1","59512.46","39308.71354507039","24300.0","398665.0"
"OperationGetKHopNeighbors-both-2","884094.54","2701918.463427834","36957.0","2.7166813E7"
"OperationGetKHopNeighbors-both-3","4643012.53","5371394.074686936","102888.0","2.9129604E7"
"OperationGetKHopNeighbors-both-4","3.278733868E7","5.1823444813884735E7","397116.0","3.89136297E8"
"OperationGetKHopNeighbors-both-5","3.0739884081E8","4.423732624560885E8","2140233.0","2.998789242E9"
"OperationGetManyVertexProperties-title","1.71894435E8","0.0","1.71894435E8","1.71894435E8"
"OperationGetManyVertexProperties-salesrank","3.5715765E7","0.0","3.5715765E7","3.5715765E7"
"OperationGetManyVertexProperties-group","5758001.0","0.0","5758001.0","5758001.0"
"OperationGetManyVertexPropertySets","1.33945886E8","0.0","1.33945886E8","1.33945886E8"
"OperationGetVerticesUsingKeyIndex-_original_id","3520961.31","1.2866027846636932E7","335977.0","1.18605608E8"
"OperationGetVerticesUsingKeyIndex-title","2325552.43","6052514.330459251","425811.0","4.7631377E7"
"OperationGetVerticesUsingKeyIndex-salesrank","1553563.58","4168685.281229754","314449.0","2.9523147E7"
"OperationGetVerticesUsingKeyIndex-group","4.446119925E8","5.494403077217461E8","3.9290313E7","1.382339927E9"
"OperationGetShortestPath","4.34915535876E9","2.7401881210789585E9","2.27169031E8","8.789333928E9"
"OperationLocalClusteringCoefficient","717954.71","662990.7852083661","51954.0","4361667.0"
"OperationShutdownGraph","7.55825154E8","0.0","7.55825154E8","7.55825154E8"
