operation                                       neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                    383.686            0.000       383.686         383.686    
OperationDoGC                                        2203.861          249.355      1511.127        2479.715    
OperationGetManyVertices                                0.053            0.000         0.053           0.053    
OperationGetManyEdges                                   0.329            0.000         0.329           0.329    
OperationGetFirstNeighbor-out                           0.151            0.070         0.057           0.493    
OperationGetAllNeighbors-out                            0.126            0.045         0.050           0.275    
OperationGetFirstNeighbor-in                            0.087            0.048         0.034           0.395    
OperationGetAllNeighbors-in                             0.097            0.035         0.037           0.269    
OperationGetFirstNeighbor-both                          0.088            0.049         0.046           0.391    
OperationGetAllNeighbors-both                           0.096            0.038         0.036           0.246    
OperationGetKHopNeighbors-out-1                         0.083            0.032         0.035           0.261    
OperationGetKHopNeighbors-out-2                         0.608            0.648         0.040           3.243    
OperationGetKHopNeighbors-out-3                         2.053            1.707         0.047          12.351    
OperationGetKHopNeighbors-out-4                         4.434            3.573         0.042          16.798    
OperationGetKHopNeighbors-out-5                         7.373            6.046         0.039          31.942    
OperationGetKHopNeighbors-in-1                          0.057            0.022         0.021           0.132    
OperationGetKHopNeighbors-in-2                          0.198            0.148         0.044           0.687    
OperationGetKHopNeighbors-in-3                          0.603            1.211         0.049           9.951    
OperationGetKHopNeighbors-in-4                          2.099            2.908         0.117          16.782    
OperationGetKHopNeighbors-in-5                          5.272           10.925         0.119          93.663    
OperationGetKHopNeighbors-both-1                        0.060            0.039         0.024           0.399    
OperationGetKHopNeighbors-both-2                        0.884            2.702         0.037          27.167    
OperationGetKHopNeighbors-both-3                        4.643            5.371         0.103          29.130    
OperationGetKHopNeighbors-both-4                       32.787           51.823         0.397         389.136    
OperationGetKHopNeighbors-both-5                      307.399          442.373         2.140        2998.789    
OperationGetManyVertexProperties-title                171.894            0.000       171.894         171.894    
OperationGetManyVertexProperties-salesrank             35.716            0.000        35.716          35.716    
OperationGetManyVertexProperties-group                  5.758            0.000         5.758           5.758    
OperationGetManyVertexPropertySets                    133.946            0.000       133.946         133.946    
OperationGetVerticesUsingKeyIndex-_original_id          3.521           12.866         0.336         118.606    
OperationGetVerticesUsingKeyIndex-title                 2.326            6.053         0.426          47.631    
OperationGetVerticesUsingKeyIndex-salesrank             1.554            4.169         0.314          29.523    
OperationGetVerticesUsingKeyIndex-group               444.612          549.440        39.290        1382.340    
OperationGetShortestPath                             4349.155         2740.188       227.169        8789.334    
OperationLocalClusteringCoefficient                     0.718            0.663         0.052           4.362    
OperationShutdownGraph                                755.825            0.000       755.825         755.825    
