"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","442273422","DONE","29690024","0","0"
"2","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1452392988","DONE","32635903","8","0"
"3","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1872621671","DONE","92576119","8","0"
"1","OperationCreateKeyIndex-vertex-title","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[vertex, title]","55276290340","DONE","237222607","105","809"
"5","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","2289668136","DONE","122895455","8","0"
"6","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","2142396757","DONE","121741207","8","1"
"4","OperationCreateKeyIndex-vertex-salesrank","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[vertex, salesrank]","44024694219","DONE","213978559","90","616"
"8","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","2256359523","DONE","122512775","8","1"
"9","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","2144221636","DONE","121429119","8","0"
"7","OperationCreateKeyIndex-vertex-group","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[vertex, group]","46629865526","DONE","199271519","89","690"
"10","OperationShutdownGraph","com.tinkerpop.bench.operation.OperationShutdownGraph","[]","2324949269","DONE","201516559","0","0"
"11","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1533512774","DONE","21809735","8","0"
