"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","447690035","DONE","32360056","0","0"
"4406","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1498357754","DONE","36570239","8","0"
"4407","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1937112486","DONE","96303495","8","0"
"1","OperationGetManyVertices","com.tinkerpop.bench.operation.operations.OperationGetManyVertices$Neo","[100]","174405","100","96958551","0","0"
"4408","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1937041679","DONE","96303767","8","0"
"2","OperationGetManyEdges","com.tinkerpop.bench.operation.operations.OperationGetManyEdges$Neo","[100]","174787","100","96958663","0","0"
"4409","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1912434305","DONE","96303767","8","1"
"3","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[36619, OUT]","11105823","1:1:1:1","96958775","0","0"
"4","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[31338, OUT]","287114","1:1:1:1","96964263","0","0"
"5","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[92082, OUT]","284670","1:1:1:1","96964487","0","0"
"6","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[131670, OUT]","286561","1:1:1:1","96964719","0","0"
"7","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[48116, OUT]","245460","1:1:1:1","96964959","0","0"
"8","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[97026, OUT]","165499","1:1:1:1","96965183","0","0"
"9","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[161464, OUT]","259799","1:1:1:1","96965407","0","0"
"10","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[40742, OUT]","247619","1:1:1:1","96965663","0","0"
"11","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[22035, OUT]","266493","1:1:1:1","96965887","0","0"
"12","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[94877, OUT]","218232","1:1:1:1","96966127","0","0"
"13","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[184623, OUT]","254643","1:1:1:1","96966335","0","0"
"14","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[87988, OUT]","270637","1:1:1:1","96966583","0","0"
"15","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[237745, OUT]","307597","1:1:1:1","96966831","0","0"
"16","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[153000, OUT]","289583","1:1:1:1","96967095","0","0"
"17","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[148668, OUT]","254156","1:1:1:1","96967359","0","0"
"18","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[17004, OUT]","384075","1:1:1:1","96967607","0","0"
"19","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[225527, OUT]","281552","1:1:1:1","96967927","0","0"
"20","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[191778, OUT]","238378","1:1:1:1","96968183","0","0"
"21","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[102477, OUT]","248862","1:1:1:1","96968407","0","0"
"22","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[97720, OUT]","380770","1:1:1:1","96968639","0","0"
"23","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[38404, OUT]","246388","1:1:1:1","96968903","0","0"
"24","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[93429, OUT]","241307","1:1:1:1","96969135","0","0"
"25","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[153851, OUT]","252236","1:1:1:1","96969375","0","0"
"26","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[205489, OUT]","244265","1:1:1:1","96969631","0","0"
"27","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[149853, OUT]","244402","1:1:1:1","96969863","0","0"
"28","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[94649, OUT]","252469","1:1:1:1","96970103","0","0"
"29","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[221460, OUT]","1116702","0:1:1:0","96970335","0","0"
"30","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[185114, OUT]","311079","1:1:1:1","96966487","0","0"
"31","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[191900, OUT]","240275","1:1:1:1","96966735","0","0"
"32","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[8868, OUT]","241165","1:1:1:1","96966959","0","0"
"33","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[114042, OUT]","250540","1:1:1:1","96967175","0","0"
"34","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[14866, OUT]","246285","1:1:1:1","96967423","0","0"
"35","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[144495, OUT]","237356","1:1:1:1","96967647","0","0"
"36","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[102265, OUT]","273790","1:1:1:1","96967887","0","0"
"37","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[256639, OUT]","235873","1:1:1:1","96968135","0","0"
"38","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[197344, OUT]","244668","1:1:1:1","96968367","0","0"
"39","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[81336, OUT]","271617","1:1:1:1","96968599","0","0"
"40","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[90712, OUT]","250866","1:1:1:1","96968839","0","0"
"41","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[223275, OUT]","217882","1:1:1:1","96969071","0","0"
"42","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[38837, OUT]","264969","1:1:1:1","96969287","0","0"
"43","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[21509, OUT]","261786","1:1:1:1","96969519","0","0"
"44","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[169637, OUT]","237510","1:1:1:1","96969759","0","0"
"45","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[59073, OUT]","268044","1:1:1:1","96969991","0","0"
"46","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[25339, OUT]","246302","1:1:1:1","96970215","0","0"
"47","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[172044, OUT]","237333","1:1:1:1","96970439","0","0"
"48","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[141096, OUT]","263719","1:1:1:1","96970679","0","0"
"49","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[136735, OUT]","223865","1:1:1:1","96970927","0","0"
"50","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[25063, OUT]","263937","1:1:1:1","96971151","0","0"
"51","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[164571, OUT]","240051","1:1:1:1","96971383","0","0"
"52","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[229052, OUT]","235552","1:1:1:1","96971631","0","0"
"53","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[183545, OUT]","227158","1:1:1:1","96971863","0","0"
"54","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[228493, OUT]","245883","1:1:1:1","96972087","0","0"
"55","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[80171, OUT]","313455","1:1:1:1","96972311","0","0"
"56","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[194418, OUT]","225322","1:1:1:1","96972583","0","0"
"57","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[98591, OUT]","283358","1:1:1:1","96972815","0","0"
"58","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[223855, OUT]","183026","1:1:1:1","96973071","0","0"
"59","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[131678, OUT]","174780","1:1:1:1","96973311","0","0"
