"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","989779762","DONE","54588527","0","0"
"2","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1531301351","DONE","36618519","8","1"
"3","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","2022933265","DONE","106190439","8","1"
"1","OperationAddManyVertices","com.tinkerpop.bench.operation.operations.OperationAddManyVertices$Neo","[100]","252501531","100","113460199","0","0"
"5","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","2006444724","DONE","106981519","8","0"
"6","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","2011872901","DONE","106981495","8","0"
"4","OperationSetManyVertexProperties","com.tinkerpop.bench.operation.operations.OperationSetManyVertexProperties$Neo","[_property, 100]","82670911","100","108377191","0","0"
"8","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","2014083560","DONE","107030607","8","1"
"9","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","2012190303","DONE","106720823","8","1"
"7","OperationAddManyEdges","com.tinkerpop.bench.operation.operations.OperationAddManyEdges$Neo","[100]","72454032","100","108116519","0","0"
"11","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1994990443","DONE","106745519","8","0"
"12","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","2016657867","DONE","106704055","8","1"
"10","OperationSetManyEdgeProperties","com.tinkerpop.bench.operation.operations.OperationSetManyEdgeProperties$Neo","[_property, 100]","64239839","100","108099671","0","0"
"13","OperationShutdownGraph","com.tinkerpop.bench.operation.OperationShutdownGraph","[]","1504077974","DONE","110295639","0","0"
"14","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1500188916","DONE","32263599","8","0"
