"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","1153931077","DONE","30030064","0","0"
"101","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1501184343","DONE","32706439","8","0"
"102","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1465111300","DONE","35104111","8","1"
"1","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[3181, 4412]","377051363","9987:4:5184:69342","68938711","0","0"
"2","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[5065, 353]","35866189","8419:4:1390:24927","41627191","0","0"
"3","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[6010, 6131]","110951499","10000:5:8783:93000","61857807","0","0"
"4","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[2831, 3237]","12913873","9146:3:1652:31911","41793079","0","0"
"5","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[337, 1285]","17943068","8846:3:1359:29419","41597607","0","0"
"6","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[9207, 9034]","55114755","10000:5:9299:96329","56603935","0","0"
"7","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[6769, 2518]","23442705","9659:4:2396:42638","43449935","0","0"
"8","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[5714, 1987]","19745279","9800:4:2993:48068","44214199","0","0"
"9","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[5891, 4888]","31464599","9979:4:4761:65920","46904751","0","0"
"10","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[8945, 9457]","43353078","10000:4:7969:86990","51735007","0","0"
"11","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[7774, 826]","18871535","9562:4:2588:40080","43644655","0","0"
"12","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[4102, 6586]","35589615","9999:4:6239:77013","49300599","0","0"
"13","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[148, 1447]","19424871","9275:3:1798:35471","42296407","0","0"
"14","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[9849, 5239]","28106400","9954:4:4245:60505","46335727","0","0"
"15","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[2766, 6374]","33414305","9998:4:5787:73440","48644335","0","0"
