"operation","neo-mean","neo-stdev","neo-min","neo-max"
"OperationOpenGraph","1.021641817E9","0.0","1.021641817E9","1.021641817E9"
"OperationDoGC","2.1586980313333335E9","2.109798312711351E8","1.524100916E9","2.298935777E9"
"OperationGetManyVertices","4.571254466E7","1.989174442866756E7","612888.0","8.9080453E7"
"OperationGetManyEdges","1.19820928E7","1.0909435654397104E7","300207.0","6.6751555E7"
"OperationGetFirstNeighbor-out","2539920.68","7205602.706072207","171367.0","6.156853E7"
"OperationGetAllNeighbors-out","1802708.26","5227298.806786856","167731.0","3.8170716E7"
"OperationGetNeighborEdgeConditional-out","4.104620258E7","5.063599973823153E7","124845.0","2.50052965E8"
"OperationGetFirstNeighbor-in","3472341.9","9107181.343140654","150426.0","6.7262614E7"
"OperationGetAllNeighbors-in","3781758.38","1.0585281923744066E7","160142.0","8.5238793E7"
"OperationGetNeighborEdgeConditional-in","1.961562902E7","1.5169280151841031E7","1011909.0","1.25454834E8"
"OperationGetFirstNeighbor-both","2812985.22","9072156.562191537","150180.0","6.0748212E7"
"OperationGetAllNeighbors-both","1952349.32","6958305.185872645","143165.0","5.3611037E7"
"OperationGetNeighborEdgeConditional-both","5.209113173E7","5.0658986066962965E7","4972430.0","2.746913E8"
"OperationGetManyVertexProperties-name","6.6389892069E8","5.3126528577563465E7","5.36712326E8","8.12231363E8"
"OperationGetManyVertexProperties-age","5.4325092469E8","5.569379170232874E7","4.29559392E8","6.93916624E8"
"OperationGetManyEdgeProperties-time","7.9516331848E8","4.8283611661942355E7","6.73189361E8","9.07444214E8"
"OperationGetManyVertexPropertySets","4.0670841543E8","6.94900231316857E7","2.56673467E8","6.71474061E8"
"OperationGetManyEdgePropertySets","8.5761095265E8","4.658410224835958E7","7.45787471E8","9.69488768E8"
"OperationShutdownGraph","2.359879457E9","0.0","2.359879457E9","2.359879457E9"
