"operation","neo-mean","neo-stdev","neo-min","neo-max"
"OperationOpenGraph","2.33930338E8","0.0","2.33930338E8","2.33930338E8"
"OperationDoGC","1.5033464915494506E9","6469119.069709817","1.492350396E9","1.541372536E9"
"OperationGetManyVertices","81819.0","0.0","81819.0","81819.0"
"OperationGetManyEdges","77444.0","0.0","77444.0","77444.0"
"OperationGetFirstNeighbor-out","437811.62","237851.75232117923","25326.0","1727160.0"
"OperationGetAllNeighbors-out","439271.97","269158.90825906006","21929.0","1304756.0"
"OperationGetNeighborEdgeConditional-out","1073222.64","1166731.0932370794","21902.0","5514259.0"
"OperationGetFirstNeighbor-in","356230.08","385094.0621321154","24278.0","2481253.0"
"OperationGetAllNeighbors-in","338200.62","263148.3770261478","30164.0","1267796.0"
"OperationGetNeighborEdgeConditional-in","861175.98","352477.2693203912","104022.0","2218918.0"
"OperationGetFirstNeighbor-both","238793.69","243428.9582254624","24174.0","882999.0"
"OperationGetAllNeighbors-both","257720.43","227976.04015024277","31039.0","828693.0"
"OperationGetNeighborEdgeConditional-both","1253102.01","1176064.7681202977","146486.0","7880889.0"
"OperationGetFirstNeighbor-out-withlabel","235826.79","276347.8394640456","28133.0","1464940.0"
"OperationGetAllNeighbors-out-withlabel","226009.07","505858.6682509504","25113.0","4770350.0"
"OperationGetNeighborEdgeConditional-out-withlabel","547636.52","610654.1087428379","28370.0","3632473.0"
"OperationGetFirstNeighbor-in-withlabel","129400.32","188663.3363725385","32369.0","933486.0"
"OperationGetAllNeighbors-in-withlabel","160390.42","200436.5047728671","39785.0","813197.0"
"OperationGetNeighborEdgeConditional-in-withlabel","450779.29","294369.69120856497","72365.0","1263498.0"
"OperationGetFirstNeighbor-both-withlabel","149222.0","256698.83886804007","32679.0","1577134.0"
"OperationGetAllNeighbors-both-withlabel","139342.61","178985.89975815942","39689.0","690238.0"
"OperationGetNeighborEdgeConditional-both-withlabel","795966.05","714078.0532538358","72572.0","5842837.0"
"OperationGetKHopNeighbors-out-1","124785.11","199490.45880692615","17685.0","1011267.0"
"OperationGetKHopNeighborsEdgeConditional-out-1","269982.69","361983.7444220582","16195.0","2158618.0"
"OperationGetKHopNeighbors-out-2","293875.87","517106.4791589186","18349.0","2702468.0"
"OperationGetKHopNeighborsEdgeConditional-out-2","413210.2","448580.0693075205","16974.0","1903835.0"
"OperationGetKHopNeighbors-out-3","270607.66","525218.7295178691","17796.0","2781027.0"
"OperationGetKHopNeighborsEdgeConditional-out-3","303698.44","528472.1278417306","16738.0","4029262.0"
"OperationGetKHopNeighbors-out-4","221222.76","608911.4431399384","18104.0","5086567.0"
"OperationGetKHopNeighborsEdgeConditional-out-4","336962.37","518572.51287502033","16855.0","3195391.0"
"OperationGetKHopNeighbors-out-5","200092.37","374721.08836759254","15418.0","2564223.0"
"OperationGetKHopNeighborsEdgeConditional-out-5","227092.66","270324.2307388008","14638.0","1386524.0"
"OperationGetKHopNeighbors-in-1","22772.27","3561.3096379141202","18772.0","28292.0"
"OperationGetKHopNeighborsEdgeConditional-in-1","222071.03","140020.48347205884","48097.0","543405.0"
"OperationGetKHopNeighbors-in-2","44325.2","10010.623747799134","25055.0","96770.0"
"OperationGetKHopNeighborsEdgeConditional-in-2","210208.78","108960.35786363589","76591.0","509936.0"
"OperationGetKHopNeighbors-in-3","107161.45","23186.130996513846","32878.0","146644.0"
"OperationGetKHopNeighborsEdgeConditional-in-3","356231.51","181094.5936564918","89800.0","808441.0"
"OperationGetKHopNeighbors-in-4","204671.26","70825.47349063329","59820.0","375581.0"
"OperationGetKHopNeighborsEdgeConditional-in-4","296742.08","172862.70550160206","94742.0","876030.0"
"OperationGetKHopNeighbors-in-5","276224.83","114931.14874619979","33414.0","524342.0"
"OperationGetKHopNeighborsEdgeConditional-in-5","270961.95","139589.0311024025","78189.0","731905.0"
"OperationGetKHopNeighbors-both-1","25292.35","7068.760555252951","18661.0","60098.0"
"OperationGetKHopNeighborsEdgeConditional-both-1","224173.35","178391.8727176983","57457.0","870677.0"
"OperationGetKHopNeighbors-both-2","109696.18","44954.58512418505","53634.0","269796.0"
"OperationGetKHopNeighborsEdgeConditional-both-2","343778.64","213207.53961914763","83833.0","1327386.0"
"OperationGetKHopNeighbors-both-3","781398.13","404639.12222524046","199628.0","2194537.0"
"OperationGetKHopNeighborsEdgeConditional-both-3","395077.25","248657.8050105154","103497.0","1651789.0"
"OperationGetKHopNeighbors-both-4","2870468.96","727496.1853860392","1350730.0","4469492.0"
"OperationGetKHopNeighborsEdgeConditional-both-4","314320.18","205642.51816763866","95344.0","1367147.0"
"OperationGetKHopNeighbors-both-5","3774456.01","555062.5726429137","1976390.0","4504382.0"
"OperationGetKHopNeighborsEdgeConditional-both-5","242491.11","163786.53324073352","41426.0","862977.0"
"OperationGetKHopNeighbors-out-withlabel-1","26886.14","5862.535574339827","16177.0","48549.0"
"OperationGetKHopNeighborsEdgeConditional-out-withlabel-1","38453.29","51459.52868522895","15370.0","364106.0"
"OperationGetKHopNeighbors-out-withlabel-2","49434.85","44337.55057564073","15658.0","241467.0"
"OperationGetKHopNeighborsEdgeConditional-out-withlabel-2","42062.89","63668.05062036924","15185.0","562069.0"
"OperationGetKHopNeighbors-out-withlabel-3","83772.98","124980.74309588499","15452.0","715380.0"
"OperationGetKHopNeighborsEdgeConditional-out-withlabel-3","35734.87","39972.22420472872","14515.0","313277.0"
"OperationGetKHopNeighbors-out-withlabel-4","119053.05","191988.53487062064","16325.0","1401609.0"
"OperationGetKHopNeighborsEdgeConditional-out-withlabel-4","35884.14","25800.18157378742","14551.0","204823.0"
"OperationGetKHopNeighbors-out-withlabel-5","271140.28","566990.7153719022","15960.0","2586003.0"
"OperationGetKHopNeighborsEdgeConditional-out-withlabel-5","44724.98","62584.05497840164","14524.0","426749.0"
"OperationGetKHopNeighbors-in-withlabel-1","23599.63","5368.213519700945","18669.0","66611.0"
"OperationGetKHopNeighborsEdgeConditional-in-withlabel-1","38014.07","43164.19191511756","19708.0","224558.0"
"OperationGetKHopNeighbors-in-withlabel-2","45837.98","7019.221755978364","33800.0","53577.0"
"OperationGetKHopNeighborsEdgeConditional-in-withlabel-2","37885.97","20961.893461925138","23997.0","206980.0"
"OperationGetKHopNeighbors-in-withlabel-3","97210.12","26876.902678054255","29415.0","139766.0"
"OperationGetKHopNeighborsEdgeConditional-in-withlabel-3","45845.68","31461.6268027831","22609.0","232597.0"
"OperationGetKHopNeighbors-in-withlabel-4","192351.59","69997.33624661656","38778.0","348410.0"
"OperationGetKHopNeighborsEdgeConditional-in-withlabel-4","53337.78","36478.736616439994","31395.0","297027.0"
"OperationGetKHopNeighbors-in-withlabel-5","276795.59","124009.6022735413","91794.0","533027.0"
"OperationGetKHopNeighborsEdgeConditional-in-withlabel-5","52030.55","23874.97619197765","27881.0","255616.0"
"OperationGetKHopNeighbors-both-withlabel-1","29920.04","7567.495971482247","19480.0","59717.0"
"OperationGetKHopNeighborsEdgeConditional-both-withlabel-1","40360.07","33793.2603967877","21145.0","236227.0"
"OperationGetKHopNeighbors-both-withlabel-2","110087.04","47803.10125230789","49248.0","321343.0"
"OperationGetKHopNeighborsEdgeConditional-both-withlabel-2","51300.28","21369.000489063594","27453.0","207300.0"
"OperationGetKHopNeighbors-both-withlabel-3","687474.33","352651.24501768185","247612.0","1868912.0"
"OperationGetKHopNeighborsEdgeConditional-both-withlabel-3","70702.67","37443.64544754023","29750.0","279968.0"
"OperationGetKHopNeighbors-both-withlabel-4","2852398.22","814470.9238961154","1049984.0","3998945.0"
"OperationGetKHopNeighborsEdgeConditional-both-withlabel-4","83401.05","61960.86026184194","31394.0","411499.0"
"OperationGetKHopNeighbors-both-withlabel-5","3910332.3","349228.695563738","1984860.0","4619836.0"
"OperationGetKHopNeighborsEdgeConditional-both-withlabel-5","81926.93","55829.35549981837","32788.0","275712.0"
"OperationGetManyVertexProperties-name","3518202.0","0.0","3518202.0","3518202.0"
"OperationGetManyVertexProperties-age","7264632.0","0.0","7264632.0","7264632.0"
"OperationGetManyEdgeProperties-time","175787.0","0.0","175787.0","175787.0"
"OperationGetManyVertexPropertySets","5015810.0","0.0","5015810.0","5015810.0"
"OperationGetManyEdgePropertySets","218637.0","0.0","218637.0","218637.0"
"OperationGetVerticesUsingKeyIndex-_original_id","615135.42","748590.8991244041","338320.0","7986232.0"
"OperationGetVerticesUsingKeyIndex-name","525529.0212765958","105428.1141502405","346214.0","687628.0"
"OperationGetVerticesUsingKeyIndex-age","1974956.511627907","622587.0052730044","854048.0","4074761.0"
"OperationGetEdgesUsingKeyIndex-time","896817.4545454546","1625232.8978271454","436450.0","1.6893308E7"
"OperationShutdownGraph","3.13603379E8","0.0","3.13603379E8","3.13603379E8"
