operation                                   neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                261.580            0.000       261.580         261.580    
OperationDoGC                                    1489.619           12.157      1480.723        1537.416    
OperationGetManyVertices                            0.023            0.005         0.012           0.059    
OperationGetManyEdges                               0.024            0.005         0.014           0.044    
OperationGetFirstNeighbor-out                       0.529            0.265         0.060           1.686    
OperationGetAllNeighbors-out                        0.577            0.354         0.061           2.435    
OperationGetNeighborEdgeConditional-out             0.917            1.408         0.059          13.111    
OperationGetFirstNeighbor-in                        0.441            0.324         0.050           1.886    
OperationGetAllNeighbors-in                         0.392            0.280         0.060           1.206    
OperationGetNeighborEdgeConditional-in              0.766            0.330         0.100           1.980    
OperationGetFirstNeighbor-both                      0.264            0.249         0.055           1.350    
OperationGetAllNeighbors-both                       0.260            0.220         0.072           1.051    
OperationGetNeighborEdgeConditional-both            0.946            0.649         0.094           3.635    
OperationGetManyVertexProperties-name               0.968            1.234         0.186           6.760    
OperationGetManyVertexProperties-age                0.139            0.028         0.086           0.217    
OperationGetManyEdgeProperties-time                 1.761            1.055         0.336           4.234    
OperationGetManyVertexPropertySets                  0.203            0.045         0.116           0.304    
OperationGetManyEdgePropertySets                    0.450            0.192         0.136           1.188    
OperationShutdownGraph                            288.736            0.000       288.736         288.736    
