"operation","neo-mean","neo-stdev","neo-min","neo-max"
"OperationOpenGraph","2.44182856E8","0.0","2.44182856E8","2.44182856E8"
"OperationDoGC","1.4698959248225806E9","5205833.371176903","1.462623904E9","1.502367717E9"
"OperationGetKHopNeighbors-out-1","242987.24","59131.515698842035","113526.0","460670.0"
"OperationGetKHopNeighbors-out-2","423404.0","369070.88520526787","77855.0","2123654.0"
"OperationGetKHopNeighbors-out-3","618985.0","1186109.7821035117","75860.0","8677219.0"
"OperationGetKHopNeighbors-out-4","303603.14","534135.4796903688","77891.0","4140588.0"
"OperationGetKHopNeighbors-out-5","343038.97","450308.47025045985","77247.0","2402787.0"
"OperationGetKHopNeighbors-in-1","114717.92","16624.286527054326","83501.0","166251.0"
"OperationGetKHopNeighbors-in-2","141428.76","123803.18049388878","93517.0","1353383.0"
"OperationGetKHopNeighbors-in-3","211064.41","40611.513056298456","121925.0","311073.0"
"OperationGetKHopNeighbors-in-4","319515.93","102329.36237104725","91655.0","549269.0"
"OperationGetKHopNeighbors-in-5","383240.58","161431.43047022657","95750.0","791949.0"
"OperationGetKHopNeighbors-both-1","116725.47","18541.684306693925","84153.0","158637.0"
"OperationGetKHopNeighbors-both-2","213069.94","88853.767478686","111576.0","559236.0"
"OperationGetKHopNeighbors-both-3","1102567.23","507291.49586258305","414362.0","3783777.0"
"OperationGetKHopNeighbors-both-4","3090829.71","990319.1975145013","1382052.0","4935528.0"
"OperationGetKHopNeighbors-both-5","4224286.62","809362.9457803932","2239344.0","4666827.0"
"OperationGetKHopNeighbors-out-withlabel-1","120642.42","16581.219357562342","86583.0","187969.0"
"OperationGetKHopNeighbors-out-withlabel-2","150065.75","79155.10153848266","82909.0","586135.0"
"OperationGetKHopNeighbors-out-withlabel-3","214221.81","209887.8354979962","85208.0","1566254.0"
"OperationGetKHopNeighbors-out-withlabel-4","371675.39","554809.5429983139","87488.0","2736464.0"
"OperationGetKHopNeighbors-out-withlabel-5","275634.39","357295.1560354798","81559.0","1671019.0"
"OperationGetKHopNeighbors-in-withlabel-1","116117.08","17241.07262595921","86876.0","170132.0"
"OperationGetKHopNeighbors-in-withlabel-2","132931.66","24489.672801497367","96125.0","189083.0"
"OperationGetKHopNeighbors-in-withlabel-3","216748.36","41183.49859701577","135169.0","302367.0"
"OperationGetKHopNeighbors-in-withlabel-4","324222.22","91783.7405260409","167603.0","508392.0"
"OperationGetKHopNeighbors-in-withlabel-5","446817.9","150268.2387182002","132374.0","782356.0"
"OperationGetKHopNeighbors-both-withlabel-1","119428.28","20858.110133509217","86902.0","185327.0"
"OperationGetKHopNeighbors-both-withlabel-2","219805.98","80926.5466659711","114842.0","591433.0"
"OperationGetKHopNeighbors-both-withlabel-3","1062399.59","459562.1118003332","306304.0","2801606.0"
"OperationGetKHopNeighbors-both-withlabel-4","3396794.41","688507.8452019132","1580408.0","4587267.0"
"OperationGetKHopNeighbors-both-withlabel-5","4259433.55","782847.8546062624","2232824.0","5251617.0"
"OperationShutdownGraph","3.00682953E8","0.0","3.00682953E8","3.00682953E8"
