"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","451177041","DONE","30034064","0","0"
"2","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1459952947","DONE","32747255","8","0"
"3","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1458726490","DONE","32994639","8","1"
"1","OperationAddManyVertices","com.tinkerpop.bench.operation.operations.OperationAddManyVertices$Neo","[100]","416380441","100","41409615","0","0"
"5","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1489916109","DONE","33446015","8","1"
"6","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1469158130","DONE","33445847","8","0"
"4","OperationSetManyVertexProperties","com.tinkerpop.bench.operation.operations.OperationSetManyVertexProperties$Neo","[_property, 100]","131960415","100","34935575","0","0"
"8","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1491003768","DONE","33426655","8","1"
"9","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1475649443","DONE","33426551","8","1"
"7","OperationAddManyEdges","com.tinkerpop.bench.operation.operations.OperationAddManyEdges$Neo","[100]","73208264","100","34336799","0","0"
"11","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1477641326","DONE","33462383","8","0"
"12","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1467747872","DONE","33462335","8","1"
"10","OperationSetManyEdgeProperties","com.tinkerpop.bench.operation.operations.OperationSetManyEdgeProperties$Neo","[_property, 100]","82800863","100","33796951","0","0"
"13","OperationShutdownGraph","com.tinkerpop.bench.operation.OperationShutdownGraph","[]","1185254068","DONE","36597807","0","0"
"14","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1482366144","DONE","32607503","8","0"
