"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","404258230","DONE","29715360","0","0"
"2","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1454625909","DONE","32620175","8","0"
"3","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1451548268","DONE","32869511","8","1"
"1","OperationCreateKeyIndex-vertex-name","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[vertex, name]","1030965841","DONE","58937767","0","0"
"5","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1499993210","DONE","33890319","8","1"
"6","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1484328763","DONE","33890415","8","0"
"4","OperationCreateKeyIndex-vertex-age","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[vertex, age]","700539167","DONE","49986095","0","0"
"8","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1492429731","DONE","33925223","8","1"
"9","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1476755229","DONE","33925207","8","1"
"7","OperationCreateKeyIndex-edge-time","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[edge, time]","1945660744","DONE","58041463","1","8"
"10","OperationShutdownGraph","com.tinkerpop.bench.operation.OperationShutdownGraph","[]","2189274847","DONE","60343343","0","0"
"11","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1504857796","DONE","32549967","8","0"
