"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","766191525","DONE","30061816","0","0"
"101","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1471520426","DONE","32704487","8","0"
"102","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1460197948","DONE","32943183","8","1"
"1","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[378, 235]","176219346","975:3:305:4861","36741647","0","0"
"2","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[146, 305]","225716355","1000:4:904:9383","37954303","0","0"
"3","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[175, 966]","50385323","1000:3:773:8427","34587295","0","0"
"4","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[20, 241]","13617818","842:2:119:2498","33441127","0","0"
"5","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[760, 967]","57076043","1000:4:981:9879","34595575","0","0"
"6","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[21, 355]","19949469","961:2:266:4462","34022199","0","0"
"7","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[348, 96]","14378982","919:3:190:3365","33445295","0","0"
"8","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[289, 417]","39464120","1000:4:809:8802","34599335","0","0"
"9","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[543, 486]","23741120","992:3:395:5777","34022551","0","0"
"10","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[173, 556]","46887538","1000:4:816:8883","34599735","0","0"
"11","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[941, 189]","9611763","691:2:68:1659","33445951","0","0"
"12","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[154, 601]","30210382","1000:4:850:9122","34599999","0","0"
"13","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[351, 487]","13581246","998:3:454:6440","34023263","0","0"
"14","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[514, 644]","27299092","1000:4:861:9172","34600303","0","0"
"15","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[221, 922]","8467596","768:2:121:1778","33446383","0","0"
"16","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[4, 899]","24661169","1000:3:934:9634","34600431","0","0"
"17","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[730, 475]","2548049","559:2:58:1055","33446535","0","0"
"18","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[783, 88]","7283298","835:3:125:2527","33446623","0","0"
"19","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[342, 483]","13811858","1000:4:781:8651","34600679","0","0"
"20","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[852, 987]","15621520","999:3:755:8311","34600743","0","0"
"21","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[535, 814]","12546893","1000:4:913:9506","34600935","0","0"
"22","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[305, 498]","5148326","993:3:396:5743","34024039","0","0"
"23","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[843, 543]","13478477","1000:4:733:8367","34601103","0","0"
"24","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[751, 566]","6022242","985:3:365:5274","34024311","0","0"
"25","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[325, 886]","9583612","1000:4:941:9668","34601407","0","0"
"26","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[377, 549]","8253457","1000:3:533:7003","34024471","0","0"
"27","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[29, 405]","10089544","1000:3:568:7199","34024551","0","0"
"28","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[257, 195]","3172571","962:3:269:4510","34024631","0","0"
"29","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[103, 581]","3687011","861:2:154:2549","33447727","0","0"
