"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","148699466","DONE","52185895","0","0"
"2","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1482858551","DONE","34186135","8","1"
"3","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1468885708","DONE","34426759","8","1"
"1","OperationAddManyVertices","com.tinkerpop.bench.operation.operations.OperationAddManyVertices$Neo","[100]","119360698","100","34426503","0","0"
"5","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1488841204","DONE","34627719","8","1"
"6","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1475219267","DONE","34627663","8","0"
"4","OperationSetManyVertexProperties","com.tinkerpop.bench.operation.operations.OperationSetManyVertexProperties$Neo","[_property, 100]","115075080","100","34627407","0","0"
"8","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1478575474","DONE","34602447","8","1"
"9","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1476692003","DONE","34602343","8","1"
"7","OperationAddManyEdges","com.tinkerpop.bench.operation.operations.OperationAddManyEdges$Neo","[100]","60049811","100","34602087","0","0"
"11","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1485707762","DONE","34632255","8","0"
"12","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1473959016","DONE","34632111","8","1"
"10","OperationSetManyEdgeProperties","com.tinkerpop.bench.operation.operations.OperationSetManyEdgeProperties$Neo","[_property, 100]","116074677","100","36027815","0","0"
"13","OperationShutdownGraph","com.tinkerpop.bench.operation.OperationShutdownGraph","[]","1222698475","DONE","38623847","0","0"
"14","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1476024208","DONE","32610935","8","1"
