"operation","neo-mean","neo-stdev","neo-min","neo-max"
"OperationOpenGraph","1.01907944E8","0.0","1.01907944E8","1.01907944E8"
"OperationDoGC","1.5443161488064516E9","5605159.212992942","1.531002026E9","1.574315081E9"
"OperationGetManyVertices","27055.08","12818.384217739771","16648.0","105998.0"
"OperationGetManyEdges","24632.98","4686.839474485979","17078.0","50089.0"
"OperationGetFirstNeighbor-out","140665.52","40453.26511802971","27987.0","332497.0"
"OperationGetAllNeighbors-out","141770.48","46977.97950922963","22510.0","346649.0"
"OperationGetNeighborEdgeConditional-out","227131.01","163029.87520301275","21645.0","1000720.0"
"OperationGetFirstNeighbor-in","107270.38","62589.557601213324","27651.0","314703.0"
"OperationGetAllNeighbors-in","109343.99","60330.27307007569","25930.0","256648.0"
"OperationGetNeighborEdgeConditional-in","216416.78","82237.16421406809","52968.0","411096.0"
"OperationGetFirstNeighbor-both","83710.89","56846.8007483086","20383.0","199277.0"
"OperationGetAllNeighbors-both","86569.51","53471.16479178195","27589.0","193897.0"
"OperationGetNeighborEdgeConditional-both","310096.62","229033.46590696217","63166.0","1696758.0"
"OperationGetFirstNeighbor-out-withlabel","91681.61","54655.415024477676","34855.0","254350.0"
"OperationGetAllNeighbors-out-withlabel","96939.35","58641.166191741955","41341.0","281289.0"
"OperationGetNeighborEdgeConditional-out-withlabel","153149.91","96655.1295235897","42110.0","657907.0"
"OperationGetFirstNeighbor-in-withlabel","84477.67","54812.175876178284","41110.0","272514.0"
"OperationGetAllNeighbors-in-withlabel","90798.52","51066.167549460755","44398.0","217022.0"
"OperationGetNeighborEdgeConditional-in-withlabel","163396.65","65045.8893336658","43317.0","309153.0"
"OperationGetFirstNeighbor-both-withlabel","68565.67","38968.814926824496","41753.0","226205.0"
"OperationGetAllNeighbors-both-withlabel","81857.71","42105.56137716132","42450.0","205178.0"
"OperationGetNeighborEdgeConditional-both-withlabel","200582.73","93383.91173578615","64890.0","701371.0"
"OperationGetKHopNeighbors-out-1","44282.15","39838.184782787226","18746.0","163845.0"
"OperationGetKHopNeighborsEdgeConditional-out-1","136558.4","136312.46741945515","17229.0","856236.0"
"OperationGetKHopNeighbors-out-2","92945.99","105433.16010539523","16771.0","771158.0"
"OperationGetKHopNeighborsEdgeConditional-out-2","161845.46","145932.39432205725","18537.0","705600.0"
