operation                                                   neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                                101.908            0.000       101.908         101.908    
OperationDoGC                                                    1544.316            5.605      1531.002        1574.315    
OperationGetManyVertices                                            0.027            0.013         0.017           0.106    
OperationGetManyEdges                                               0.025            0.005         0.017           0.050    
OperationGetFirstNeighbor-out                                       0.141            0.040         0.028           0.332    
OperationGetAllNeighbors-out                                        0.142            0.047         0.023           0.347    
OperationGetNeighborEdgeConditional-out                             0.227            0.163         0.022           1.001    
OperationGetFirstNeighbor-in                                        0.107            0.063         0.028           0.315    
OperationGetAllNeighbors-in                                         0.109            0.060         0.026           0.257    
OperationGetNeighborEdgeConditional-in                              0.216            0.082         0.053           0.411    
OperationGetFirstNeighbor-both                                      0.084            0.057         0.020           0.199    
OperationGetAllNeighbors-both                                       0.087            0.053         0.028           0.194    
OperationGetNeighborEdgeConditional-both                            0.310            0.229         0.063           1.697    
OperationGetFirstNeighbor-out-withlabel                             0.092            0.055         0.035           0.254    
OperationGetAllNeighbors-out-withlabel                              0.097            0.059         0.041           0.281    
OperationGetNeighborEdgeConditional-out-withlabel                   0.153            0.097         0.042           0.658    
OperationGetFirstNeighbor-in-withlabel                              0.084            0.055         0.041           0.273    
OperationGetAllNeighbors-in-withlabel                               0.091            0.051         0.044           0.217    
OperationGetNeighborEdgeConditional-in-withlabel                    0.163            0.065         0.043           0.309    
OperationGetFirstNeighbor-both-withlabel                            0.069            0.039         0.042           0.226    
OperationGetAllNeighbors-both-withlabel                             0.082            0.042         0.042           0.205    
OperationGetNeighborEdgeConditional-both-withlabel                  0.201            0.093         0.065           0.701    
OperationGetKHopNeighbors-out-1                                     0.044            0.040         0.019           0.164    
OperationGetKHopNeighborsEdgeConditional-out-1                      0.137            0.136         0.017           0.856    
OperationGetKHopNeighbors-out-2                                     0.093            0.105         0.017           0.771    
OperationGetKHopNeighborsEdgeConditional-out-2                      0.162            0.146         0.019           0.706    
OperationGetKHopNeighbors-out-3                                     0.186            0.546         0.018           5.066    
OperationGetKHopNeighborsEdgeConditional-out-3                      0.164            0.142         0.019           0.729    
OperationGetKHopNeighbors-out-4                                     0.132            0.242         0.017           1.651    
OperationGetKHopNeighborsEdgeConditional-out-4                      0.134            0.141         0.016           0.746    
OperationGetKHopNeighbors-out-5                                     0.275            0.587         0.014           3.291    
OperationGetKHopNeighborsEdgeConditional-out-5                      0.110            0.090         0.015           0.412    
OperationGetKHopNeighbors-in-1                                      0.024            0.005         0.018           0.064    
OperationGetKHopNeighborsEdgeConditional-in-1                       0.129            0.054         0.044           0.253    
OperationGetKHopNeighbors-in-2                                      0.052            0.008         0.029           0.070    
OperationGetKHopNeighborsEdgeConditional-in-2                       0.170            0.063         0.016           0.326    
OperationGetKHopNeighbors-in-3                                      0.131            0.025         0.064           0.190    
OperationGetKHopNeighborsEdgeConditional-in-3                       0.208            0.071         0.060           0.355    
OperationGetKHopNeighbors-in-4                                      0.220            0.091         0.049           0.435    
OperationGetKHopNeighborsEdgeConditional-in-4                       0.178            0.077         0.067           0.420    
OperationGetKHopNeighbors-in-5                                      0.361            0.173         0.023           0.756    
OperationGetKHopNeighborsEdgeConditional-in-5                       0.205            0.077         0.073           0.395    
OperationGetKHopNeighbors-both-1                                    0.031            0.007         0.017           0.071    
OperationGetKHopNeighborsEdgeConditional-both-1                     0.136            0.067         0.045           0.412    
OperationGetKHopNeighbors-both-2                                    0.120            0.069         0.046           0.544    
OperationGetKHopNeighborsEdgeConditional-both-2                     0.216            0.131         0.063           0.807    
OperationGetKHopNeighbors-both-3                                    0.914            0.420         0.259           2.620    
OperationGetKHopNeighborsEdgeConditional-both-3                     0.261            0.149         0.081           0.867    
OperationGetKHopNeighbors-both-4                                    3.592            0.699         1.435           4.708    
OperationGetKHopNeighborsEdgeConditional-both-4                     0.316            0.178         0.103           1.085    
OperationGetKHopNeighbors-both-5                                    4.420            0.618         2.410           4.696    
OperationGetKHopNeighborsEdgeConditional-both-5                     0.278            0.137         0.092           0.859    
OperationGetKHopNeighbors-out-withlabel-1                           0.047            0.009         0.034           0.111    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-1            0.053            0.020         0.033           0.197    
OperationGetKHopNeighbors-out-withlabel-2                           0.062            0.041         0.032           0.381    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-2            0.055            0.019         0.033           0.146    
OperationGetKHopNeighbors-out-withlabel-3                           0.126            0.208         0.033           1.761    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-3            0.058            0.018         0.033           0.137    
OperationGetKHopNeighbors-out-withlabel-4                           0.121            0.353         0.032           3.428    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-4            0.063            0.024         0.034           0.180    
OperationGetKHopNeighbors-out-withlabel-5                           0.151            0.442         0.031           3.270    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-5            0.045            0.023         0.016           0.136    
OperationGetKHopNeighbors-in-withlabel-1                            0.025            0.006         0.017           0.062    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-1             0.029            0.014         0.015           0.106    
OperationGetKHopNeighbors-in-withlabel-2                            0.029            0.006         0.016           0.047    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-2             0.034            0.013         0.023           0.109    
OperationGetKHopNeighbors-in-withlabel-3                            0.050            0.016         0.021           0.108    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-3             0.037            0.013         0.020           0.111    
OperationGetKHopNeighbors-in-withlabel-4                            0.064            0.026         0.020           0.121    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-4             0.040            0.012         0.020           0.113    
OperationGetKHopNeighbors-in-withlabel-5                            0.090            0.038         0.022           0.193    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-5             0.046            0.022         0.015           0.132    
OperationGetKHopNeighbors-both-withlabel-1                          0.026            0.005         0.019           0.058    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-1           0.030            0.008         0.020           0.086    
OperationGetKHopNeighbors-both-withlabel-2                          0.062            0.030         0.019           0.201    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-2           0.038            0.014         0.020           0.100    
OperationGetKHopNeighbors-both-withlabel-3                          0.195            0.155         0.034           1.185    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-3           0.052            0.022         0.020           0.155    
OperationGetKHopNeighbors-both-withlabel-4                          0.942            0.450         0.116           2.224    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-4           0.056            0.023         0.027           0.170    
OperationGetKHopNeighbors-both-withlabel-5                          1.959            0.607         0.025           2.778    
