operation                                                   neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                                261.829            0.000       261.829         261.829    
OperationDoGC                                                    1500.346            5.154      1490.517        1528.757    
OperationGetManyVertices                                            0.038            0.000         0.038           0.038    
OperationGetManyEdges                                               0.158            0.000         0.158           0.158    
OperationGetFirstNeighbor-out                                       0.477            0.303         0.027           2.146    
OperationGetAllNeighbors-out                                        0.452            0.251         0.030           1.398    
OperationGetNeighborEdgeConditional-out                             1.053            1.434         0.030           8.524    
OperationGetFirstNeighbor-in                                        0.375            0.281         0.026           1.471    
OperationGetAllNeighbors-in                                         0.374            0.279         0.035           1.453    
OperationGetNeighborEdgeConditional-in                              0.776            0.290         0.054           1.537    
OperationGetFirstNeighbor-both                                      0.245            0.254         0.025           1.276    
OperationGetAllNeighbors-both                                       0.282            0.280         0.032           1.935    
OperationGetNeighborEdgeConditional-both                            1.016            1.080         0.052           6.869    
OperationGetFirstNeighbor-out-withlabel                             0.188            0.221         0.027           0.792    
OperationGetAllNeighbors-out-withlabel                              0.209            0.222         0.029           0.768    
OperationGetNeighborEdgeConditional-out-withlabel                   0.462            0.623         0.030           3.898    
OperationGetFirstNeighbor-in-withlabel                              0.162            0.198         0.033           0.730    
OperationGetAllNeighbors-in-withlabel                               0.162            0.191         0.036           0.800    
OperationGetNeighborEdgeConditional-in-withlabel                    0.382            0.276         0.052           1.332    
OperationGetFirstNeighbor-both-withlabel                            0.108            0.160         0.032           0.739    
OperationGetAllNeighbors-both-withlabel                             0.114            0.152         0.037           0.727    
OperationGetNeighborEdgeConditional-both-withlabel                  0.490            0.403         0.038           2.180    
OperationGetKHopNeighbors-out-1                                     0.069            0.114         0.020           0.646    
OperationGetKHopNeighborsEdgeConditional-out-1                      0.449            0.595         0.020           4.218    
OperationGetKHopNeighbors-out-2                                     0.220            0.295         0.018           1.758    
OperationGetKHopNeighborsEdgeConditional-out-2                      0.438            0.732         0.020           6.147    
OperationGetKHopNeighbors-out-3                                     0.329            0.885         0.021           7.343    
OperationGetKHopNeighborsEdgeConditional-out-3                      0.367            0.403         0.020           1.915    
OperationGetKHopNeighbors-out-4                                     0.225            0.591         0.018           4.708    
OperationGetKHopNeighborsEdgeConditional-out-4                      0.299            0.417         0.018           2.164    
OperationGetKHopNeighbors-out-5                                     0.362            0.736         0.016           4.114    
OperationGetKHopNeighborsEdgeConditional-out-5                      0.295            0.442         0.016           2.471    
OperationGetKHopNeighbors-in-1                                      0.026            0.004         0.019           0.031    
OperationGetKHopNeighborsEdgeConditional-in-1                       0.202            0.133         0.020           0.599    
OperationGetKHopNeighbors-in-2                                      0.053            0.013         0.025           0.104    
OperationGetKHopNeighborsEdgeConditional-in-2                       0.276            0.144         0.056           0.683    
OperationGetKHopNeighbors-in-3                                      0.126            0.036         0.025           0.190    
OperationGetKHopNeighborsEdgeConditional-in-3                       0.310            0.178         0.062           0.756    
OperationGetKHopNeighbors-in-4                                      0.243            0.090         0.046           0.454    
OperationGetKHopNeighborsEdgeConditional-in-4                       0.241            0.184         0.060           0.887    
OperationGetKHopNeighbors-in-5                                      0.358            0.154         0.023           0.766    
OperationGetKHopNeighborsEdgeConditional-in-5                       0.261            0.169         0.053           0.696    
OperationGetKHopNeighbors-both-1                                    0.030            0.007         0.019           0.055    
OperationGetKHopNeighborsEdgeConditional-both-1                     0.203            0.183         0.041           0.940    
OperationGetKHopNeighbors-both-2                                    0.116            0.069         0.044           0.429    
OperationGetKHopNeighborsEdgeConditional-both-2                     0.270            0.190         0.057           1.096    
OperationGetKHopNeighbors-both-3                                    1.007            0.552         0.226           3.085    
OperationGetKHopNeighborsEdgeConditional-both-3                     0.295            0.209         0.069           1.232    
OperationGetKHopNeighbors-both-4                                    3.334            0.842         1.256           4.496    
OperationGetKHopNeighborsEdgeConditional-both-4                     0.312            0.179         0.088           1.006    
OperationGetKHopNeighbors-both-5                                    3.950            0.879         2.276           4.586    
OperationGetKHopNeighborsEdgeConditional-both-5                     0.295            0.209         0.045           1.283    
