"operation","neo-mean","neo-stdev","neo-min","neo-max"
"OperationOpenGraph","2.44455757E8","0.0","2.44455757E8","2.44455757E8"
"OperationDoGC","1.4988474123888888E9","7994550.973029866","1.490313567E9","1.52641804E9"
"OperationGetManyVertices","28732.59","10529.224353289272","16574.0","95753.0"
"OperationGetManyEdges","28897.16","8025.52598739796","15619.0","72838.0"
"OperationGetFirstNeighbor-out","514622.95","235964.71337996182","65313.0","1281901.0"
"OperationGetAllNeighbors-out","484139.52","281550.9202048354","48045.0","1751975.0"
"OperationGetNeighborEdgeConditional-out","782535.45","743691.6649952234","46298.0","5755690.0"
"OperationGetFirstNeighbor-in","441789.11","373543.9452591593","52585.0","2647708.0"
"OperationGetAllNeighbors-in","452805.99","373010.32495603914","69269.0","2739261.0"
"OperationGetNeighborEdgeConditional-in","637243.16","278357.91438774357","105178.0","1564520.0"
"OperationGetFirstNeighbor-both","264449.06","211364.81075334272","56673.0","919802.0"
"OperationGetAllNeighbors-both","348497.02","324077.4805144591","80515.0","1902271.0"
"OperationGetNeighborEdgeConditional-both","903918.21","629562.0085443894","112771.0","3403388.0"
"OperationGetManyVertexProperties-name","800105.28","1134754.6373200426","134065.0","6469399.0"
"OperationGetManyVertexProperties-age","116815.74","30313.94161326435","78092.0","197664.0"
"OperationGetManyEdgeProperties-time","2099849.16","1066302.6446841601","514305.0","4813068.0"
"OperationGetManyVertexPropertySets","223382.47","36936.62994466468","122362.0","276956.0"
"OperationGetManyEdgePropertySets","430215.95","196931.31379734285","84438.0","1039638.0"
"OperationShutdownGraph","3.01708388E8","0.0","3.01708388E8","3.01708388E8"
