operation                                   neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                252.710            0.000       252.710         252.710    
OperationDoGC                                    1474.698            4.504      1467.702        1502.632    
OperationGetKHopNeighbors-out-1                     0.322            0.068         0.141           0.488    
OperationGetKHopNeighbors-out-2                     0.645            0.655         0.118           4.628    
OperationGetKHopNeighbors-out-3                     0.640            1.303         0.119          12.077    
OperationGetKHopNeighbors-out-4                     0.424            0.863         0.116           6.607    
OperationGetKHopNeighbors-out-5                     0.362            0.571         0.108           3.593    
OperationGetKHopNeighbors-in-1                      0.179            0.018         0.114           0.224    
OperationGetKHopNeighbors-in-2                      0.184            0.052         0.132           0.456    
OperationGetKHopNeighbors-in-3                      0.275            0.062         0.123           0.378    
OperationGetKHopNeighbors-in-4                      0.406            0.117         0.172           0.683    
OperationGetKHopNeighbors-in-5                      0.465            0.164         0.182           0.896    
OperationGetKHopNeighbors-both-1                    0.176            0.029         0.113           0.251    
OperationGetKHopNeighbors-both-2                    0.276            0.084         0.159           0.552    
OperationGetKHopNeighbors-both-3                    1.054            0.533         0.402           3.267    
OperationGetKHopNeighbors-both-4                    3.757            0.988         1.495           5.032    
OperationGetKHopNeighbors-both-5                    4.600            0.878         2.424           5.092    
OperationGetKHopNeighbors-out-withlabel-1           0.106            0.018         0.085           0.164    
OperationGetKHopNeighbors-out-withlabel-2           0.122            0.026         0.081           0.222    
OperationGetKHopNeighbors-out-withlabel-3           0.124            0.046         0.082           0.461    
OperationGetKHopNeighbors-out-withlabel-4           0.123            0.049         0.082           0.425    
OperationGetKHopNeighbors-out-withlabel-5           0.197            0.251         0.081           1.692    
OperationGetKHopNeighbors-in-withlabel-1            0.112            0.019         0.085           0.204    
OperationGetKHopNeighbors-in-withlabel-2            0.112            0.019         0.083           0.164    
OperationGetKHopNeighbors-in-withlabel-3            0.133            0.025         0.083           0.201    
OperationGetKHopNeighbors-in-withlabel-4            0.152            0.034         0.086           0.233    
OperationGetKHopNeighbors-in-withlabel-5            0.155            0.044         0.085           0.301    
OperationGetKHopNeighbors-both-withlabel-1          0.122            0.018         0.089           0.240    
OperationGetKHopNeighbors-both-withlabel-2          0.138            0.039         0.092           0.312    
OperationGetKHopNeighbors-both-withlabel-3          0.386            0.218         0.124           1.427    
OperationGetKHopNeighbors-both-withlabel-4          0.974            0.522         0.084           2.409    
OperationGetKHopNeighbors-both-withlabel-5          1.934            0.755         0.083           3.057    
OperationShutdownGraph                            307.505            0.000       307.505         307.505    
