"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","705486310","DONE","30026112","0","0"
"101","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1472337333","DONE","32695511","8","0"
"102","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1459858867","DONE","32937271","8","1"
"1","OperationLocalClusteringCoefficient","com.tinkerpop.bench.operation.operations.OperationLocalClusteringCoefficient$Neo","[493]","12952520","112:2:9:119:0.0","33273455","0","0"
"2","OperationLocalClusteringCoefficient","com.tinkerpop.bench.operation.operations.OperationLocalClusteringCoefficient$Neo","[928]","2463163","65:2:7:70:0.0","33272823","0","0"
"3","OperationLocalClusteringCoefficient","com.tinkerpop.bench.operation.operations.OperationLocalClusteringCoefficient$Neo","[734]","7205240","114:2:8:120:0.0","33274863","0","0"
"4","OperationLocalClusteringCoefficient","com.tinkerpop.bench.operation.operations.OperationLocalClusteringCoefficient$Neo","[892]","11235755","148:2:6:155:0.15","33276871","0","0"
"5","OperationLocalClusteringCoefficient","com.tinkerpop.bench.operation.operations.OperationLocalClusteringCoefficient$Neo","[452]","8675046","219:2:12:238:0.08181818181818182","33279071","0","0"
"6","OperationLocalClusteringCoefficient","com.tinkerpop.bench.operation.operations.OperationLocalClusteringCoefficient$Neo","[988]","2296077","47:2:6:51:0.0","33282215","0","0"
"7","OperationLocalClusteringCoefficient","com.tinkerpop.bench.operation.operations.OperationLocalClusteringCoefficient$Neo","[677]","1852938","87:2:6:91:0.0","33283839","0","0"
"8","OperationLocalClusteringCoefficient","com.tinkerpop.bench.operation.operations.OperationLocalClusteringCoefficient$Neo","[965]","2567146","113:2:6:122:0.25","33285031","0","0"
"9","OperationLocalClusteringCoefficient","com.tinkerpop.bench.operation.operations.OperationLocalClusteringCoefficient$Neo","[96]","8875990","255:2:19:283:0.03594771241830065","33286471","0","0"
"10","OperationLocalClusteringCoefficient","com.tinkerpop.bench.operation.operations.OperationLocalClusteringCoefficient$Neo","[374]","3864942","126:2:12:138:0.01818181818181818","33292207","0","0"
"11","OperationLocalClusteringCoefficient","com.tinkerpop.bench.operation.operations.OperationLocalClusteringCoefficient$Neo","[43]","16187831","369:2:20:400:0.038011695906432746","33295191","0","0"
"12","OperationLocalClusteringCoefficient","com.tinkerpop.bench.operation.operations.OperationLocalClusteringCoefficient$Neo","[971]","1958770","51:2:6:55:0.0","33299431","0","0"
"13","OperationLocalClusteringCoefficient","com.tinkerpop.bench.operation.operations.OperationLocalClusteringCoefficient$Neo","[288]","10942362","143:2:12:159:0.05454545454545454","33300967","0","0"
"14","OperationLocalClusteringCoefficient","com.tinkerpop.bench.operation.operations.OperationLocalClusteringCoefficient$Neo","[491]","6198013","103:2:8:110:0.023809523809523808","33304071","0","0"
"15","OperationLocalClusteringCoefficient","com.tinkerpop.bench.operation.operations.OperationLocalClusteringCoefficient$Neo","[522]","2659301","91:2:10:99:0.0","33306079","0","0"
"16","OperationLocalClusteringCoefficient","com.tinkerpop.bench.operation.operations.OperationLocalClusteringCoefficient$Neo","[702]","6065386","83:2:6:87:0.0","33308279","0","0"
"17","OperationLocalClusteringCoefficient","com.tinkerpop.bench.operation.operations.OperationLocalClusteringCoefficient$Neo","[348]","7602980","112:2:10:120:0.0","33309855","0","0"
"18","OperationLocalClusteringCoefficient","com.tinkerpop.bench.operation.operations.OperationLocalClusteringCoefficient$Neo","[63]","10132490","319:2:19:352:0.05228758169934641","33312431","0","0"
"19","OperationLocalClusteringCoefficient","com.tinkerpop.bench.operation.operations.OperationLocalClusteringCoefficient$Neo","[631]","4434976","114:2:9:122:0.017857142857142856","33317071","0","0"
"20","OperationLocalClusteringCoefficient","com.tinkerpop.bench.operation.operations.OperationLocalClusteringCoefficient$Neo","[72]","9656510","380:2:24:420:0.03463203463203463","33318743","0","0"
"21","OperationLocalClusteringCoefficient","com.tinkerpop.bench.operation.operations.OperationLocalClusteringCoefficient$Neo","[665]","2039926","53:2:6:57:0.0","33324079","0","0"
"22","OperationLocalClusteringCoefficient","com.tinkerpop.bench.operation.operations.OperationLocalClusteringCoefficient$Neo","[865]","2236860","70:2:6:74:0.0","33325783","0","0"
"23","OperationLocalClusteringCoefficient","com.tinkerpop.bench.operation.operations.OperationLocalClusteringCoefficient$Neo","[925]","1917045","124:2:7:129:0.0","33327303","0","0"
