"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","583650005","DONE","30175648","0","0"
"3001","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1475175333","DONE","34095375","8","0"
"3002","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1477737722","DONE","34300911","8","1"
"1","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[76, 1, OUT]","29355469","13:1:-1:13","36050287","0","0"
"2","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[227, 1, OUT]","601138","6:1:-1:6","34723079","0","0"
"3","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[677, 1, OUT]","729842","1:0:-1:1","34723351","0","0"
"4","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[742, 1, OUT]","492128","3:1:-1:3","34723599","0","0"
"5","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[83, 1, OUT]","771177","10:1:-1:10","34723903","0","0"
"6","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[445, 1, OUT]","825350","2:1:-1:2","34724279","0","0"
"7","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[745, 1, OUT]","890398","3:1:-1:3","34724583","0","0"
"8","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[874, 1, OUT]","741011","1:0:-1:1","34724839","0","0"
"9","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[57, 1, OUT]","1564056","12:1:-1:12","34725087","0","0"
"10","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[30, 1, OUT]","1364367","15:1:-1:15","34725471","0","0"
"11","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[742, 1, OUT]","303487","3:1:-1:3","34725879","0","0"
"12","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[52, 1, OUT]","2602771","25:1:-1:25","34725951","0","0"
"13","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[784, 1, OUT]","983302","4:1:-1:4","34726343","0","0"
"14","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[617, 1, OUT]","979519","4:1:-1:4","34726655","0","0"
"15","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[943, 1, OUT]","737392","1:0:-1:1","34727007","0","0"
"16","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[69, 1, OUT]","2115290","15:1:-1:15","34727255","0","0"
"17","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[13, 1, OUT]","2379490","20:1:-1:20","34727719","0","0"
"18","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[412, 1, OUT]","1564135","11:1:-1:11","34728159","0","0"
"19","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[480, 1, OUT]","1052578","5:1:-1:5","34728551","0","0"
"20","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[246, 1, OUT]","1172124","7:1:-1:7","34728903","0","0"
"21","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[932, 1, OUT]","846946","2:1:-1:2","34729263","0","0"
"22","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[402, 1, OUT]","836899","2:1:-1:2","34729559","0","0"
"23","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[967, 1, OUT]","711428","1:0:-1:1","34729855","0","0"
"24","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[82, 1, OUT]","2015901","18:1:-1:18","34730103","0","0"
