"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","195402033","DONE","50826879","0","0"
"101","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1468822769","DONE","33865359","8","0"
"102","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1455577945","DONE","34101567","8","0"
"1","OperationLocalClusteringCoefficient","com.tinkerpop.bench.operation.operations.OperationLocalClusteringCoefficient$Neo","[81]","2244740","344:2:18:370:0.03333333333333333","34101311","0","0"
"2","OperationLocalClusteringCoefficient","com.tinkerpop.bench.operation.operations.OperationLocalClusteringCoefficient$Neo","[896]","876906","111:2:8:119:0.047619047619047616","34107063","0","0"
"3","OperationLocalClusteringCoefficient","com.tinkerpop.bench.operation.operations.OperationLocalClusteringCoefficient$Neo","[519]","920807","136:2:8:142:0.0","34109567","0","0"
"4","OperationLocalClusteringCoefficient","com.tinkerpop.bench.operation.operations.OperationLocalClusteringCoefficient$Neo","[511]","855461","94:2:9:103:0.03571428571428571","34112063","0","0"
"5","OperationLocalClusteringCoefficient","com.tinkerpop.bench.operation.operations.OperationLocalClusteringCoefficient$Neo","[161]","1067448","148:2:10:156:0.0","34114711","0","0"
"6","OperationLocalClusteringCoefficient","com.tinkerpop.bench.operation.operations.OperationLocalClusteringCoefficient$Neo","[325]","1294957","137:2:13:151:0.022727272727272728","34117767","0","0"
"7","OperationLocalClusteringCoefficient","com.tinkerpop.bench.operation.operations.OperationLocalClusteringCoefficient$Neo","[18]","9132470","716:2:41:809:0.03461538461538462","34121383","0","0"
"8","OperationLocalClusteringCoefficient","com.tinkerpop.bench.operation.operations.OperationLocalClusteringCoefficient$Neo","[747]","1529507","94:2:8:100:0.0","34133039","0","0"
"9","OperationLocalClusteringCoefficient","com.tinkerpop.bench.operation.operations.OperationLocalClusteringCoefficient$Neo","[113]","2645574","238:2:13:260:0.08333333333333333","34135167","0","0"
"10","OperationLocalClusteringCoefficient","com.tinkerpop.bench.operation.operations.OperationLocalClusteringCoefficient$Neo","[621]","1335572","174:2:9:183:0.0","34138439","0","0"
"11","OperationLocalClusteringCoefficient","com.tinkerpop.bench.operation.operations.OperationLocalClusteringCoefficient$Neo","[602]","876127","83:2:6:87:0.0","34140335","0","0"
"12","OperationLocalClusteringCoefficient","com.tinkerpop.bench.operation.operations.OperationLocalClusteringCoefficient$Neo","[799]","1425753","93:2:7:98:0.0","34141415","0","0"
