"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","93493424","DONE","39758207","0","0"
"2","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1491509477","DONE","34063839","8","1"
"3","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1480796794","DONE","34304471","8","1"
"1","OperationCreateKeyIndex-vertex-name","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[vertex, name]","308087580","DONE","51062839","0","0"
"5","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1510096818","DONE","35064815","8","0"
"6","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1486377378","DONE","35064799","8","1"
"4","OperationCreateKeyIndex-vertex-age","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[vertex, age]","242887766","DONE","49024063","0","0"
"8","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1497691687","DONE","35097999","8","1"
"9","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1491309562","DONE","35097983","8","0"
"7","OperationCreateKeyIndex-edge-time","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[edge, time]","1035550272","DONE","52804967","1","1"
"10","OperationShutdownGraph","com.tinkerpop.bench.operation.OperationShutdownGraph","[]","2290514925","DONE","56973351","0","0"
"11","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1500465352","DONE","32554727","8","0"
