"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","261039557","DONE","50831399","0","0"
"101","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1469643382","DONE","33874599","8","1"
"102","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1462621767","DONE","34107343","8","1"
"1","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[304, 724]","41804655","1000:4:931:9595","41088055","0","0"
"2","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[407, 824]","4720540","1000:3:667:7807","34353999","0","0"
"3","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[372, 518]","4329664","999:3:518:6940","34357247","0","0"
"4","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[401, 908]","3998015","1000:4:932:9618","35754071","0","0"
"5","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[536, 497]","1421407","984:3:346:5237","34366239","0","0"
"6","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[960, 274]","2033948","946:3:219:4023","34366319","0","0"
"7","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[561, 437]","4887187","1000:4:658:7872","34366399","0","0"
"8","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[670, 874]","746925","503:2:51:853","34367079","0","0"
"9","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[333, 917]","5174336","1000:3:791:8663","34367151","0","0"
"10","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[246, 913]","4921116","1000:3:748:8308","34367231","0","0"
"11","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[310, 134]","1269181","938:3:228:3905","34367311","0","0"
"12","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[527, 990]","4162958","996:3:535:6497","34367391","0","0"
"13","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[113, 960]","6265585","1000:4:987:9909","35763959","0","0"
"14","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[456, 921]","5185786","1000:3:757:8412","34368703","0","0"
"15","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[111, 404]","3723828","998:3:467:6505","34368783","0","0"
"16","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[870, 13]","977394","607:3:62:1251","34368863","0","0"
"17","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[123, 500]","4123451","999:3:552:7180","34368943","0","0"
"18","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[940, 834]","4159056","1000:3:586:7133","34369023","0","0"
"19","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[366, 540]","1166780","692:2:82:1433","34369103","0","0"
"20","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[413, 254]","2548236","972:3:251:4330","34369183","0","0"
"21","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[628, 470]","3304483","992:3:360:5401","34369263","0","0"
