"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","252710209","DONE","52462639","0","0"
"3001","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1502632105","DONE","35268791","8","1"
"3002","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1469475434","DONE","35468895","8","0"
"1","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[473, 1, OUT]","436373","1:0:-1:1","35468647","0","0"
"2","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[724, 1, OUT]","394416","5:1:-1:5","35468871","0","0"
"3","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[598, 1, OUT]","341526","2:1:-1:2","35469223","0","0"
"4","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[82, 1, OUT]","407784","18:1:-1:18","35469519","0","0"
"5","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[278, 1, OUT]","353474","5:1:-1:5","35469927","0","0"
"6","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[594, 1, OUT]","344871","3:1:-1:3","35470295","0","0"
"7","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[77, 1, OUT]","407985","22:1:-1:22","35470639","0","0"
"8","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[447, 1, OUT]","356514","6:1:-1:6","35471063","0","0"
"9","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[93, 1, OUT]","393197","15:1:-1:15","35471431","0","0"
"10","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[791, 1, OUT]","340055","2:1:-1:2","35471831","0","0"
"11","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[888, 1, OUT]","330207","1:0:-1:1","35472135","0","0"
"12","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[304, 1, OUT]","384323","4:1:-1:4","35472383","0","0"
"13","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[56, 1, OUT]","378765","11:1:-1:11","35472735","0","0"
"14","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[856, 1, OUT]","331305","1:0:-1:1","35473119","0","0"
"15","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[740, 1, OUT]","343606","2:1:-1:2","35473375","0","0"
"16","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[668, 1, OUT]","219127","3:1:-1:3","35473727","0","0"
"17","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[365, 1, OUT]","241526","3:1:-1:3","35474031","0","0"
"18","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[282, 1, OUT]","354340","9:1:-1:9","35474375","0","0"
"19","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[917, 1, OUT]","315837","1:0:-1:1","35474751","0","0"
"20","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[464, 1, OUT]","328212","2:1:-1:2","35474999","0","0"
"21","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[303, 1, OUT]","332812","3:1:-1:3","35475295","0","0"
"22","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[162, 1, OUT]","376964","14:1:-1:14","35475599","0","0"
"23","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[704, 1, OUT]","328374","2:1:-1:2","35475999","0","0"
"24","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[854, 1, OUT]","326791","2:1:-1:2","35476295","0","0"
"25","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[530, 1, OUT]","342871","6:1:-1:6","35476591","0","0"
"26","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[767, 1, OUT]","329481","3:1:-1:3","35476951","0","0"
"27","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[320, 1, OUT]","340780","6:1:-1:6","35477295","0","0"
"28","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[421, 1, OUT]","334569","5:1:-1:5","35477655","0","0"
"29","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[997, 1, OUT]","320490","1:0:-1:1","35477967","0","0"
"30","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[820, 1, OUT]","316949","1:0:-1:1","35478215","0","0"
"31","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[634, 1, OUT]","326109","2:1:-1:2","35478463","0","0"
"32","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[323, 1, OUT]","226918","9:1:-1:9","35478759","0","0"
"33","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[841, 1, OUT]","315226","1:0:-1:1","35479135","0","0"
"34","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[151, 1, OUT]","348675","8:1:-1:8","35479383","0","0"
"35","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[905, 1, OUT]","316778","1:0:-1:1","35479751","0","0"
"36","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[435, 1, OUT]","338322","5:1:-1:5","35479999","0","0"
"37","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[798, 1, OUT]","213433","2:1:-1:2","35480351","0","0"
"38","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[602, 1, OUT]","209081","1:0:-1:1","35480647","0","0"
"39","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[401, 1, OUT]","222102","1:0:-1:1","35480895","0","0"
"40","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[342, 1, OUT]","234782","7:1:-1:7","35481143","0","0"
"41","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[983, 1, OUT]","223740","1:0:-1:1","35481511","0","0"
"42","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[713, 1, OUT]","343878","3:1:-1:3","35481759","0","0"
"43","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[48, 1, OUT]","403969","17:1:-1:17","35482103","0","0"
"44","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[742, 1, OUT]","345958","3:1:-1:3","35482511","0","0"
"45","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[376, 1, OUT]","352939","5:1:-1:5","35482823","0","0"
"46","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$Neo_StoredProcedure","[783, 1, OUT]","344743","3:1:-1:3","35483175","0","0"
