operation                                                   neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                                285.898            0.000       285.898         285.898    
OperationDoGC                                                    2450.130          250.132      1538.485        2767.181    
OperationGetManyVertices                                            0.105            0.000         0.105           0.105    
OperationGetManyEdges                                               0.383            0.000         0.383           0.383    
OperationGetFirstNeighbor-out                                       0.178            0.097         0.083           0.940    
OperationGetAllNeighbors-out                                        0.162            0.055         0.066           0.395    
OperationGetNeighborEdgeConditional-out                            28.516           34.848         0.066         206.215    
OperationGetFirstNeighbor-in                                        0.130            0.046         0.064           0.334    
OperationGetAllNeighbors-in                                         0.139            0.050         0.074           0.436    
OperationGetNeighborEdgeConditional-in                              6.617            3.348         0.630          16.923    
OperationGetFirstNeighbor-both                                      0.134            0.047         0.067           0.459    
OperationGetAllNeighbors-both                                       0.135            0.036         0.071           0.294    
OperationGetNeighborEdgeConditional-both                           30.874           33.108         0.389         242.823    
OperationGetFirstNeighbor-out-withlabel                             0.128            0.034         0.072           0.301    
OperationGetAllNeighbors-out-withlabel                              0.145            0.050         0.074           0.434    
OperationGetNeighborEdgeConditional-out-withlabel                  34.046           47.617         0.071         333.082    
OperationGetFirstNeighbor-in-withlabel                              0.151            0.104         0.074           1.080    
OperationGetAllNeighbors-in-withlabel                               0.147            0.058         0.075           0.524    
OperationGetNeighborEdgeConditional-in-withlabel                    7.271            5.004         0.308          34.124    
OperationGetFirstNeighbor-both-withlabel                            0.129            0.041         0.073           0.303    
OperationGetAllNeighbors-both-withlabel                             0.133            0.037         0.076           0.262    
OperationGetNeighborEdgeConditional-both-withlabel                 32.803           36.479         0.179         204.716    
OperationGetKHopNeighbors-out-1                                     0.132            0.046         0.071           0.431    
OperationGetKHopNeighborsEdgeConditional-out-1                     20.516           23.312         0.063          92.978    
OperationGetKHopNeighbors-out-2                                     0.377            0.643         0.079           5.945    
OperationGetKHopNeighborsEdgeConditional-out-2                     33.682           35.513         0.064         198.231    
OperationGetKHopNeighbors-out-3                                     1.195            2.428         0.075          20.586    
OperationGetKHopNeighborsEdgeConditional-out-3                     48.090           69.955         0.063         562.789    
OperationGetKHopNeighbors-out-4                                     2.098            5.343         0.075          37.556    
OperationGetKHopNeighborsEdgeConditional-out-4                     39.397           44.695         0.056         254.070    
OperationGetKHopNeighbors-out-5                                    17.831          109.446         0.030         983.970    
OperationGetKHopNeighborsEdgeConditional-out-5                     35.010           54.963         0.025         405.978    
OperationGetKHopNeighbors-in-1                                      0.058            0.033         0.028           0.326    
OperationGetKHopNeighborsEdgeConditional-in-1                       7.257           11.358         0.144         107.522    
OperationGetKHopNeighbors-in-2                                      0.306            0.145         0.121           0.929    
OperationGetKHopNeighborsEdgeConditional-in-2                      11.369            5.330         0.220          27.348    
OperationGetKHopNeighbors-in-3                                      1.898            0.730         0.605           4.510    
OperationGetKHopNeighborsEdgeConditional-in-3                      15.962           11.772         0.805         103.724    
OperationGetKHopNeighbors-in-4                                      6.750            3.394         3.267          37.123    
OperationGetKHopNeighborsEdgeConditional-in-4                      18.289           11.505         0.949          58.446    
OperationGetKHopNeighbors-in-5                                     16.297            6.273         4.142          43.407    
OperationGetKHopNeighborsEdgeConditional-in-5                      18.783           11.372         0.505          57.043    
OperationGetKHopNeighbors-both-1                                    0.068            0.096         0.032           0.944    
OperationGetKHopNeighborsEdgeConditional-both-1                    30.483           34.260         0.096         183.556    
OperationGetKHopNeighbors-both-2                                    0.388            0.268         0.126           1.941    
OperationGetKHopNeighborsEdgeConditional-both-2                    69.482           55.671         4.392         276.084    
OperationGetKHopNeighbors-both-3                                    4.343            4.439         1.024          31.813    
OperationGetKHopNeighborsEdgeConditional-both-3                    99.965          103.460         7.852         778.524    
OperationGetKHopNeighbors-both-4                                   68.464          126.168        10.097        1141.544    
OperationGetKHopNeighborsEdgeConditional-both-4                    77.864           72.045         3.370         414.799    
OperationGetKHopNeighbors-both-5                                 1179.422         1162.390       206.470        8745.799    
OperationGetKHopNeighborsEdgeConditional-both-5                    65.761           81.801         0.279         601.811    
OperationGetKHopNeighbors-out-withlabel-1                           0.066            0.049         0.023           0.476    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-1           12.802           23.397         0.016         196.508    
OperationGetKHopNeighbors-out-withlabel-2                           0.197            0.220         0.024           1.332    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-2           18.650           24.024         0.016         139.088    
OperationGetKHopNeighbors-out-withlabel-3                           0.276            0.482         0.016           3.032    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-3           19.727           25.487         0.016         164.619    
OperationGetKHopNeighbors-out-withlabel-4                           2.504           10.452         0.017          80.729    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-4           19.364           28.716         0.013         182.715    
OperationGetKHopNeighbors-out-withlabel-5                           2.174            9.292         0.017          84.007    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-5           14.020           16.160         0.019          74.357    
OperationGetKHopNeighbors-in-withlabel-1                            0.059            0.048         0.020           0.403    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-1             2.151            6.022         0.086          49.013    
OperationGetKHopNeighbors-in-withlabel-2                            0.204            0.069         0.074           0.582    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-2             3.425            5.522         0.138          27.349    
OperationGetKHopNeighbors-in-withlabel-3                            0.849            0.217         0.201           1.434    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-3             5.721           10.279         0.174          82.708    
OperationGetKHopNeighbors-in-withlabel-4                            3.309            4.477         0.378          46.898    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-4             5.837            7.009         0.190          33.994    
OperationGetKHopNeighbors-in-withlabel-5                           10.090            6.106         0.493          58.316    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-5             4.437            5.659         0.238          20.895    
OperationGetKHopNeighbors-both-withlabel-1                          0.065            0.047         0.028           0.441    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-1          13.325           19.542         0.090         102.793    
OperationGetKHopNeighbors-both-withlabel-2                          0.403            0.182         0.144           1.015    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-2          20.537           23.139         0.141         123.053    
OperationGetKHopNeighbors-both-withlabel-3                          5.501            7.175         0.871          51.515    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-3          22.642           18.365         0.169          87.218    
OperationGetKHopNeighbors-both-withlabel-4                         70.698           86.946        13.080         675.010    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-4          21.396           19.806         0.275         104.187    
OperationGetKHopNeighbors-both-withlabel-5                       1191.961          900.083       142.412        3844.468    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-5          19.112           20.487         0.122         107.471    
OperationGetManyVertexProperties-name                             619.967            0.000       619.967         619.967    
OperationGetManyVertexProperties-age                              440.987            0.000       440.987         440.987    
OperationGetManyEdgeProperties-time                                98.296            0.000        98.296          98.296    
