"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","929180856","DONE","30157384","0","0"
"2","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1509119528","DONE","32745071","8","0"
"3","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1474164054","DONE","35152479","8","1"
"1","OperationAddManyVertices","com.tinkerpop.bench.operation.operations.OperationAddManyVertices$Neo","[100]","326147637","100","44647623","0","0"
"5","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1520441804","DONE","35671391","8","0"
"6","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1489457063","DONE","35671471","8","1"
"4","OperationSetManyVertexProperties","com.tinkerpop.bench.operation.operations.OperationSetManyVertexProperties$Neo","[_property, 100]","149172544","100","37715279","0","0"
"8","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1520571126","DONE","35663599","8","1"
"9","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1490256663","DONE","35663391","8","1"
"7","OperationAddManyEdges","com.tinkerpop.bench.operation.operations.OperationAddManyEdges$Neo","[100]","95425873","100","36563599","0","0"
"11","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1500883023","DONE","35697151","8","1"
"12","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1499704962","DONE","35697103","8","1"
"10","OperationSetManyEdgeProperties","com.tinkerpop.bench.operation.operations.OperationSetManyEdgeProperties$Neo","[_property, 100]","83762731","100","36838303","0","0"
"13","OperationShutdownGraph","com.tinkerpop.bench.operation.OperationShutdownGraph","[]","1158005789","DONE","38609063","0","0"
"14","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1486993819","DONE","32607375","8","1"
