"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","122340813","DONE","40221415","0","0"
"2","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1524733872","DONE","34112983","8","0"
"3","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","2167343961","DONE","127644727","8","0"
"1","OperationCreateKeyIndex-vertex-name","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[vertex, name]","155256431741","DONE","307361815","341","2543"
"5","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","2482419984","DONE","142751743","8","1"
"6","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","2283876755","DONE","138181583","8","1"
"4","OperationCreateKeyIndex-vertex-age","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[vertex, age]","145024479978","DONE","288057895","322","2454"
"8","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","2474140573","DONE","142525167","8","0"
"9","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","2306875839","DONE","139084031","8","1"
"7","OperationCreateKeyIndex-edge-time","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[edge, time]","781605291205","DONE","407306735","1658","12395"
"10","OperationShutdownGraph","com.tinkerpop.bench.operation.OperationShutdownGraph","[]","1833192146","DONE","408414135","0","0"
"11","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1678677070","DONE","33894783","8","0"
