"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","265036275","DONE","50810783","0","0"
"101","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1468487806","DONE","33919927","8","1"
"102","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","2131211957","DONE","127443079","8","1"
"1","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[236601, 422882]","10818000949","967751:5:255490:4276104","555597911","30","2199"
"2","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[598932, 427040]","18203087161","999240:6:557669:7182954","488641935","58","3301"
"3","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[644915, 294955]","9130812199","949260:5:208238:3846452","494226631","26","1791"
"4","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[810524, 445781]","10294647156","967706:5:255891:4258432","501806639","30","2026"
"5","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[845500, 932508]","25407826875","1000000:6:959623:9792899","850171503","86","4330"
"6","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[305510, 735446]","22941259848","999998:6:804915:8919574","815099511","76","3940"
"7","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[679912, 409071]","17223711461","998783:6:519608:6904421","681406727","54","3098"
"8","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[428407, 879523]","24915188359","1000000:6:922612:9595205","850124951","84","4240"
"9","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[235154, 257616]","9950928873","962909:5:232872:4222583","546678727","28","1919"
"10","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[821608, 605448]","24508554971","1000000:7:920668:9546716","774450439","83","4145"
"11","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[819252, 811299]","12095328635","982232:5:339011:4766374","545504559","36","2345"
"12","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[448625, 178301]","1245834881","325610:4:16290:488430","231901055","3","258"
"13","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[117599, 311293]","18393359020","999339:6:594132:7288397","694166735","57","3240"
"14","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[904152, 140416]","5217353777","799383:5:90672:2200015","414401223","14","1120"
"15","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[169154, 899540]","14752233208","995069:5:454183:5839726","570314695","45","2708"
"16","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[23529, 985894]","25645834548","1000000:6:995271:9976191","858022175","87","4327"
"17","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[900177, 470680]","18741827814","999558:6:592636:7461944","712537263","60","3288"
"18","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[230991, 668638]","22669035125","999994:6:792607:8823559","792103719","74","3891"
"19","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[958100, 370150]","16211607482","997767:6:476447:6549142","614915247","51","2923"
"20","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[899052, 808293]","5279895083","788451:5:118742:2018709","389503935","15","1149"
"21","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[499242, 94352]","11923597624","980053:6:334438:4777606","566516727","35","2241"
"22","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[230665, 80602]","5235286789","803034:5:91499:2246444","413484007","14","1105"
"23","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[401471, 473998]","7958729162","921011:5:185434:3254242","432293823","23","1637"
"24","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[821289, 556946]","21175123502","999964:6:720761:8337946","759591311","68","3638"
"25","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[96548, 303198]","10601551133","971458:5:256447:4471117","494593431","31","2031"
"26","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[109747, 692469]","23702880363","1000000:6:867778:9259826","792033607","78","3984"
"27","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[846761, 14534]","2400543086","514839:5:33971:974988","297033175","6","529"
"28","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[384793, 252958]","15672279025","996776:6:471909:6310496","626289399","48","2782"
"29","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[826609, 794312]","831785339","231348:4:15376:310104","214278615","2","149"
"30","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[878533, 717754]","22174123963","999993:6:764984:8679631","743056071","74","3793"
"31","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[812654, 482394]","17159470427","998885:6:519300:6958327","646306247","54","3058"
"32","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[748365, 599269]","20313987214","999895:6:666029:8029694","735064711","66","3514"
"33","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[633313, 707436]","21071775692","999970:6:709784:8317072","732515263","69","3645"
"34","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[425875, 679260]","21919904805","999982:6:747163:8563283","728912639","73","3857"
"35","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[785239, 971067]","5844451861","815017:5:137527:2197565","400352967","17","1310"
"36","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[894109, 377845]","15361147942","996754:6:443420:6315797","637811871","47","2700"
"37","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[784059, 813488]","23327937094","999999:6:830975:9074306","753779815","79","3973"
"38","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[943915, 343284]","17507659354","998911:6:543932:6978230","647785503","55","3092"
"39","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[884647, 768161]","6086500386","835427:5:139021:2341112","437824839","17","1313"
"40","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[355552, 878912]","24386256812","1000000:6:902895:9487201","815214167","83","4083"
"41","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[779714, 544703]","18361561962","999539:6:574019:7378589","707055327","58","3222"
"42","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[253524, 8137]","795431354","225269:4:7194:322863","188542855","2","156"
"43","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[765396, 766804]","3614759525","658486:4:74837:1387357","329418831","10","812"
"44","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[590596, 819269]","18886572512","999771:5:630168:7556974","694935023","59","3230"
"45","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[648662, 635920]","8752041662","938710:5:218316:3526357","517505351","25","1723"
"46","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[831218, 229002]","22652437748","999990:7:829852:8894468","776098823","74","3876"
"47","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[363714, 91700]","5929025890","839514:5:108202:2523011","439383215","16","1242"
"48","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[425086, 456695]","18050210605","999346:6:564943:7265159","688680231","57","3124"
"49","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[863231, 396542]","11430465556","980360:5:292734:4784371","558357431","33","2130"
"50","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[588324, 311162]","7526620478","909694:5:161798:3151635","466428359","21","1518"
"51","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[355137, 584376]","20217439655","999886:6:664242:8010452","698344279","66","3458"
"52","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[242782, 857511]","24419736407","1000000:6:892848:9432707","795997559","83","4177"
"53","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[366771, 882708]","13537178049","990875:5:404223:5358367","574112599","41","2514"
"54","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[703200, 153637]","5070081079","788424:5:87166:2117712","376616687","14","1121"
"55","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[435644, 42160]","5478512689","807580:5:109214:2238990","410228671","15","1172"
"56","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[847506, 524295]","1170845478","302402:4:18868:436390","215442959","3","238"
"57","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[449676, 489198]","19749832285","999805:6:653152:7866926","711501543","63","3353"
"58","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[57258, 275246]","11682732554","982106:5:298065:4954646","563481431","34","2145"
"59","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[789629, 355402]","13622405177","992486:6:371527:5686163","545433207","41","2449"
"60","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[173254, 840801]","18835899224","999726:5:626532:7494853","678072079","59","3275"
"61","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[462621, 730617]","22525946927","999994:6:784441:8798931","776664935","75","3808"
"62","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[75606, 105140]","1856343703","420241:4:22254:703775","243689215","5","449"
"63","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[357979, 937492]","1068937773","265619:4:19492:367435","193139863","3","240"
"64","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[268050, 41118]","5240265450","793523:5:102244:2150980","401097847","14","1078"
"65","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$Neo","[605304, 231370]","6626168511","880267:5:134684:2839936","452278815","18","1321"
