"operation","neo-mean","neo-stdev","neo-min","neo-max"
"OperationOpenGraph","2.56237004E8","0.0","2.56237004E8","2.56237004E8"
"OperationDoGC","2.449821084193548E9","2.312192954176277E8","1.496682309E9","2.714742188E9"
"OperationGetKHopNeighbors-out-1","267921.96","291528.9674854257","123020.0","3032420.0"
"OperationGetKHopNeighbors-out-2","597742.4","613099.5103699072","157683.0","3509037.0"
"OperationGetKHopNeighbors-out-3","991107.02","2424808.294357172","120309.0","2.1812568E7"
"OperationGetKHopNeighbors-out-4","4865418.02","1.782001873198744E7","78270.0","1.51360955E8"
"OperationGetKHopNeighbors-out-5","1.173316952E7","9.400853554126777E7","78409.0","9.44493927E8"
"OperationGetKHopNeighbors-in-1","137402.48","46309.804310422216","83525.0","429833.0"
"OperationGetKHopNeighbors-in-2","432131.46","222296.25523006095","155972.0","1355894.0"
"OperationGetKHopNeighbors-in-3","3169408.83","3831221.901025006","921269.0","3.8184182E7"
"OperationGetKHopNeighbors-in-4","1.092867258E7","4351712.082790884","5194857.0","4.2253307E7"
"OperationGetKHopNeighbors-in-5","3.564195464E7","1.0418415376320843E7","1.608162E7","8.360374E7"
"OperationGetKHopNeighbors-both-1","135570.13","44411.12414624403","83819.0","445743.0"
"OperationGetKHopNeighbors-both-2","548286.97","284400.6391827366","174894.0","2083793.0"
"OperationGetKHopNeighbors-both-3","7246704.56","7341609.243625254","764377.0","6.0486384E7"
"OperationGetKHopNeighbors-both-4","1.6660537251E8","3.009496263083907E8","1.7141577E7","1.824506899E9"
"OperationGetKHopNeighbors-both-5","2.55301367568E9","2.4034766130202117E9","3.75482693E8","1.38470002E10"
"OperationGetKHopNeighbors-out-withlabel-1","137605.51","40709.522584647195","80889.0","371890.0"
"OperationGetKHopNeighbors-out-withlabel-2","304122.71","461970.93788348394","84340.0","3586062.0"
"OperationGetKHopNeighbors-out-withlabel-3","1124514.5","4357235.045671965","79121.0","4.0966262E7"
"OperationGetKHopNeighbors-out-withlabel-4","2048198.21","8913285.848020054","76944.0","8.7575913E7"
"OperationGetKHopNeighbors-out-withlabel-5","1546616.92","4190736.9093035595","76480.0","2.9126496E7"
"OperationGetKHopNeighbors-in-withlabel-1","154470.61","43402.18237137275","82724.0","424543.0"
"OperationGetKHopNeighbors-in-withlabel-2","352525.37","112390.00926591785","167587.0","959046.0"
"OperationGetKHopNeighbors-in-withlabel-3","1164803.28","293463.9330569288","547652.0","1857079.0"
"OperationGetKHopNeighbors-in-withlabel-4","4949292.28","3992433.864355694","2046282.0","4.3486842E7"
"OperationGetKHopNeighbors-in-withlabel-5","1.153504221E7","3531225.8011217513","1068867.0","1.7176015E7"
"OperationGetKHopNeighbors-both-withlabel-1","167071.55","54624.26507832853","84769.0","442551.0"
"OperationGetKHopNeighbors-both-withlabel-2","592617.94","496353.063896856","201991.0","4495964.0"
"OperationGetKHopNeighbors-both-withlabel-3","6710958.35","6786881.204112224","1014281.0","4.866428E7"
"OperationGetKHopNeighbors-both-withlabel-4","1.1721514179E8","1.7562530902530435E8","1.5714157E7","1.132052069E9"
"OperationGetKHopNeighbors-both-withlabel-5","2.31339824685E9","2.1641244169981885E9","1.48203632E8","1.355974831E10"
"OperationShutdownGraph","1.738615803E9","0.0","1.738615803E9","1.738615803E9"
