operation                                   neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                256.237            0.000       256.237         256.237    
OperationDoGC                                    2449.821          231.219      1496.682        2714.742    
OperationGetKHopNeighbors-out-1                     0.268            0.292         0.123           3.032    
OperationGetKHopNeighbors-out-2                     0.598            0.613         0.158           3.509    
OperationGetKHopNeighbors-out-3                     0.991            2.425         0.120          21.813    
OperationGetKHopNeighbors-out-4                     4.865           17.820         0.078         151.361    
OperationGetKHopNeighbors-out-5                    11.733           94.009         0.078         944.494    
OperationGetKHopNeighbors-in-1                      0.137            0.046         0.084           0.430    
OperationGetKHopNeighbors-in-2                      0.432            0.222         0.156           1.356    
OperationGetKHopNeighbors-in-3                      3.169            3.831         0.921          38.184    
OperationGetKHopNeighbors-in-4                     10.929            4.352         5.195          42.253    
OperationGetKHopNeighbors-in-5                     35.642           10.418        16.082          83.604    
OperationGetKHopNeighbors-both-1                    0.136            0.044         0.084           0.446    
OperationGetKHopNeighbors-both-2                    0.548            0.284         0.175           2.084    
OperationGetKHopNeighbors-both-3                    7.247            7.342         0.764          60.486    
OperationGetKHopNeighbors-both-4                  166.605          300.950        17.142        1824.507    
OperationGetKHopNeighbors-both-5                 2553.014         2403.477       375.483       13847.000    
OperationGetKHopNeighbors-out-withlabel-1           0.138            0.041         0.081           0.372    
OperationGetKHopNeighbors-out-withlabel-2           0.304            0.462         0.084           3.586    
OperationGetKHopNeighbors-out-withlabel-3           1.125            4.357         0.079          40.966    
OperationGetKHopNeighbors-out-withlabel-4           2.048            8.913         0.077          87.576    
OperationGetKHopNeighbors-out-withlabel-5           1.547            4.191         0.076          29.126    
OperationGetKHopNeighbors-in-withlabel-1            0.154            0.043         0.083           0.425    
OperationGetKHopNeighbors-in-withlabel-2            0.353            0.112         0.168           0.959    
OperationGetKHopNeighbors-in-withlabel-3            1.165            0.293         0.548           1.857    
OperationGetKHopNeighbors-in-withlabel-4            4.949            3.992         2.046          43.487    
OperationGetKHopNeighbors-in-withlabel-5           11.535            3.531         1.069          17.176    
OperationGetKHopNeighbors-both-withlabel-1          0.167            0.055         0.085           0.443    
OperationGetKHopNeighbors-both-withlabel-2          0.593            0.496         0.202           4.496    
OperationGetKHopNeighbors-both-withlabel-3          6.711            6.787         1.014          48.664    
OperationGetKHopNeighbors-both-withlabel-4        117.215          175.625        15.714        1132.052    
OperationGetKHopNeighbors-both-withlabel-5       2313.398         2164.124       148.204       13559.748    
OperationShutdownGraph                           1738.616            0.000      1738.616        1738.616    
