"operation","neo-mean","neo-stdev","neo-min","neo-max"
"OperationOpenGraph","3.18891839E8","0.0","3.18891839E8","3.18891839E8"
"OperationDoGC","2.4486718443186812E9","2.3256474754172117E8","1.539006546E9","2.70870391E9"
"OperationGetManyVertices","1148235.0","0.0","1148235.0","1148235.0"
"OperationGetManyEdges","351338.0","0.0","351338.0","351338.0"
"OperationGetFirstNeighbor-out","198912.89","70786.31255813444","96875.0","509811.0"
"OperationGetAllNeighbors-out","191183.72","93188.8656880295","85208.0","776661.0"
"OperationGetNeighborEdgeConditional-out","1024831.22","2885252.8854613258","82683.0","1.7189761E7"
"OperationGetFirstNeighbor-in","172855.79","55178.8892699545","88716.0","399193.0"
"OperationGetAllNeighbors-in","196009.4","60421.24296023708","79841.0","400215.0"
"OperationGetNeighborEdgeConditional-in","403083.22","405315.8567145278","209820.0","4324655.0"
"OperationGetFirstNeighbor-both","150087.45","44031.2384766486","83128.0","302279.0"
"OperationGetAllNeighbors-both","203231.91","103022.63531429341","89950.0","794809.0"
"OperationGetNeighborEdgeConditional-both","1575521.73","6257920.566670767","208638.0","5.8663589E7"
"OperationGetFirstNeighbor-out-withlabel","187345.59","74757.54295696119","94581.0","570118.0"
"OperationGetAllNeighbors-out-withlabel","183137.08","73215.5731329995","82573.0","561809.0"
"OperationGetNeighborEdgeConditional-out-withlabel","272947.69","199763.006666084","76652.0","1399051.0"
"OperationGetFirstNeighbor-in-withlabel","167436.45","62298.11923780284","76483.0","443029.0"
"OperationGetAllNeighbors-in-withlabel","152256.26","38800.01818340296","82230.0","297904.0"
"OperationGetNeighborEdgeConditional-in-withlabel","307567.57","76013.58827186821","152350.0","498348.0"
"OperationGetFirstNeighbor-both-withlabel","160508.72","46251.7779857337","89429.0","337781.0"
"OperationGetAllNeighbors-both-withlabel","189289.21","62602.70151747365","79851.0","517499.0"
"OperationGetNeighborEdgeConditional-both-withlabel","351347.88","146283.37688686847","145175.0","861421.0"
"OperationGetKHopNeighbors-out-1","149238.58","43370.26249682609","67823.0","291478.0"
"OperationGetKHopNeighborsEdgeConditional-out-1","986002.24","3496880.8680832856","85753.0","2.4859711E7"
"OperationGetKHopNeighbors-out-2","436674.36","623845.1145623332","78910.0","4967568.0"
"OperationGetKHopNeighborsEdgeConditional-out-2","704066.05","2312515.586247168","78636.0","2.168074E7"
"OperationGetKHopNeighbors-out-3","1644720.97","3478543.1072935793","84555.0","2.1293543E7"
"OperationGetKHopNeighborsEdgeConditional-out-3","1268714.83","3909437.735881879","69676.0","2.3748725E7"
"OperationGetKHopNeighbors-out-4","4486547.04","2.1248241840863887E7","33162.0","1.94679955E8"
"OperationGetKHopNeighborsEdgeConditional-out-4","887823.26","3027857.8139782604","20432.0","2.0372854E7"
"OperationGetKHopNeighbors-out-5","4871271.32","1.8016209672085676E7","29397.0","1.61420586E8"
"OperationGetKHopNeighborsEdgeConditional-out-5","858450.39","2846803.5481801997","17929.0","1.9667894E7"
"OperationGetKHopNeighbors-in-1","71499.19","35225.30622427433","34035.0","260950.0"
"OperationGetKHopNeighborsEdgeConditional-in-1","279320.25","87024.47621622034","139833.0","555127.0"
"OperationGetKHopNeighbors-in-2","419197.28","255608.53549692265","164141.0","1846960.0"
"OperationGetKHopNeighborsEdgeConditional-in-2","1245880.92","3334005.557159483","208022.0","1.7578919E7"
"OperationGetKHopNeighbors-in-3","2660898.41","1499725.6780802757","900941.0","1.1739102E7"
"OperationGetKHopNeighborsEdgeConditional-in-3","1392995.8","2910139.075334173","332798.0","2.0236004E7"
"OperationGetKHopNeighbors-in-4","1.096729455E7","4742632.628813107","4771279.0","4.031337E7"
"OperationGetKHopNeighborsEdgeConditional-in-4","2704479.71","5481472.842146007","344810.0","2.4071642E7"
"OperationGetKHopNeighbors-in-5","2.551840376E7","8962202.646421338","7442679.0","5.8992285E7"
"OperationGetKHopNeighborsEdgeConditional-in-5","2704523.95","5195599.313239492","379505.0","2.3639479E7"
"OperationGetKHopNeighbors-both-1","76860.61","59062.54147950205","18308.0","598609.0"
"OperationGetKHopNeighborsEdgeConditional-both-1","1176946.92","3838364.4046778423","177234.0","2.693939E7"
"OperationGetKHopNeighbors-both-2","500383.76","283377.95318461605","138141.0","1982419.0"
"OperationGetKHopNeighborsEdgeConditional-both-2","2468407.47","6656753.6138893785","300931.0","4.6166531E7"
"OperationGetKHopNeighbors-both-3","6518640.14","9280882.619727332","1075876.0","8.4265381E7"
"OperationGetKHopNeighborsEdgeConditional-both-3","3387041.19","9135839.6278054","231447.0","7.7273136E7"
"OperationGetKHopNeighbors-both-4","1.1539999181E8","1.7317404646758372E8","1.5420227E7","1.383003193E9"
"OperationGetKHopNeighborsEdgeConditional-both-4","2047495.15","4417218.757406573","239476.0","3.8203943E7"
"OperationGetKHopNeighbors-both-5","1.79866881441E9","1.825050110699297E9","3.46011602E8","1.0794154134E10"
"OperationGetKHopNeighborsEdgeConditional-both-5","1.393761738E7","2.2667479587678824E7","223894.0","1.25529376E8"
"OperationGetKHopNeighbors-out-withlabel-1","420667.5","3539640.9699105658","14756.0","3.563758E7"
"OperationGetKHopNeighborsEdgeConditional-out-withlabel-1","165903.19","109368.5349195732","32634.0","614838.0"
"OperationGetKHopNeighbors-out-withlabel-2","123618.47","138193.37692012993","19923.0","1092892.0"
"OperationGetKHopNeighborsEdgeConditional-out-withlabel-2","221948.73","151528.49372833184","29832.0","733785.0"
"OperationGetKHopNeighbors-out-withlabel-3","254746.96","500160.61518298136","13132.0","3998582.0"
"OperationGetKHopNeighborsEdgeConditional-out-withlabel-3","210947.1","161745.72124940428","19573.0","721617.0"
"OperationGetKHopNeighbors-out-withlabel-4","345363.02","762474.0177533918","21904.0","5065460.0"
"OperationGetKHopNeighborsEdgeConditional-out-withlabel-4","227238.17","217723.63736903053","12955.0","1139491.0"
"OperationGetKHopNeighbors-out-withlabel-5","1972080.08","9075935.845350701","30417.0","7.6220732E7"
"OperationGetKHopNeighborsEdgeConditional-out-withlabel-5","227889.95","216549.8245651738","19945.0","1231075.0"
"OperationGetKHopNeighbors-in-withlabel-1","68339.07","44398.61886663931","15537.0","430108.0"
"OperationGetKHopNeighborsEdgeConditional-in-withlabel-1","483067.39","3021636.8350578663","98546.0","3.0543323E7"
"OperationGetKHopNeighbors-in-withlabel-2","229651.29","131938.0429272236","54206.0","858973.0"
"OperationGetKHopNeighborsEdgeConditional-in-withlabel-2","310981.7","114411.18753281952","39314.0","605301.0"
"OperationGetKHopNeighbors-in-withlabel-3","647001.01","381663.59650811594","55349.0","2268616.0"
"OperationGetKHopNeighborsEdgeConditional-in-withlabel-3","465305.88","183053.8649128873","54848.0","1176762.0"
"OperationGetKHopNeighbors-in-withlabel-4","1936299.96","1445688.8270153708","24988.0","6516680.0"
"OperationGetKHopNeighborsEdgeConditional-in-withlabel-4","490711.96","185607.46506592454","66663.0","1084264.0"
"OperationGetKHopNeighbors-in-withlabel-5","4864160.65","4710721.022014311","33401.0","4.4574441E7"
"OperationGetKHopNeighborsEdgeConditional-in-withlabel-5","696353.75","316924.80182883685","60111.0","1632847.0"
"OperationGetKHopNeighbors-both-withlabel-1","74309.95","55850.84139820546","22954.0","542901.0"
"OperationGetKHopNeighborsEdgeConditional-both-withlabel-1","227839.63","117860.76811939207","37731.0","841122.0"
"OperationGetKHopNeighbors-both-withlabel-2","308985.67","160588.21027429472","71877.0","880976.0"
"OperationGetKHopNeighborsEdgeConditional-both-withlabel-2","436792.7","207073.816999953","140899.0","1147717.0"
"OperationGetKHopNeighbors-both-withlabel-3","2178736.36","4173702.9798966898","170490.0","3.9967383E7"
"OperationGetKHopNeighborsEdgeConditional-both-withlabel-3","621806.4","502902.421653744","58715.0","3840392.0"
"OperationGetKHopNeighbors-both-withlabel-4","1.191923082E7","1.8064307883169964E7","54984.0","1.56980928E8"
"OperationGetKHopNeighborsEdgeConditional-both-withlabel-4","646012.25","477918.18252657796","37481.0","3052169.0"
"OperationGetKHopNeighbors-both-withlabel-5","1.0910623611E8","1.6601944292499313E8","47155.0","1.216745152E9"
"OperationGetKHopNeighborsEdgeConditional-both-withlabel-5","789019.04","512790.412824985","210286.0","3323087.0"
"OperationGetManyVertexProperties-name","5.46872246E8","0.0","5.46872246E8","5.46872246E8"
"OperationGetManyVertexProperties-age","5.47067154E8","0.0","5.47067154E8","5.47067154E8"
"OperationGetManyEdgeProperties-time","7.2199539E7","0.0","7.2199539E7","7.2199539E7"
"OperationGetManyVertexPropertySets","4.68036021E8","0.0","4.68036021E8","4.68036021E8"
