operation                                                   neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                                279.740            0.000       279.740         279.740    
OperationDoGC                                                    1500.760            5.454      1493.143        1529.200    
OperationGetManyVertices                                            0.046            0.000         0.046           0.046    
OperationGetManyEdges                                               0.141            0.000         0.141           0.141    
OperationGetFirstNeighbor-out                                       0.238            0.069         0.023           0.408    
OperationGetAllNeighbors-out                                        0.237            0.084         0.025           0.343    
OperationGetNeighborEdgeConditional-out                             0.505            0.286         0.033           1.519    
OperationGetFirstNeighbor-in                                        0.182            0.108         0.024           0.346    
OperationGetAllNeighbors-in                                         0.166            0.102         0.025           0.333    
OperationGetNeighborEdgeConditional-in                              0.545            0.232         0.025           1.100    
OperationGetFirstNeighbor-both                                      0.168            0.121         0.022           0.344    
OperationGetAllNeighbors-both                                       0.138            0.110         0.026           0.342    
OperationGetNeighborEdgeConditional-both                            0.539            0.274         0.070           1.463    
OperationGetFirstNeighbor-out-withlabel                             0.122            0.111         0.027           0.379    
OperationGetAllNeighbors-out-withlabel                              0.132            0.115         0.027           0.332    
OperationGetNeighborEdgeConditional-out-withlabel                   0.294            0.194         0.031           0.857    
OperationGetFirstNeighbor-in-withlabel                              0.105            0.101         0.032           0.327    
OperationGetAllNeighbors-in-withlabel                               0.093            0.092         0.033           0.357    
OperationGetNeighborEdgeConditional-in-withlabel                    0.358            0.221         0.034           1.087    
OperationGetFirstNeighbor-both-withlabel                            0.075            0.084         0.029           0.343    
OperationGetAllNeighbors-both-withlabel                             0.099            0.099         0.035           0.407    
OperationGetNeighborEdgeConditional-both-withlabel                  0.514            0.301         0.068           1.474    
OperationGetKHopNeighbors-out-1                                     0.069            0.088         0.020           0.325    
OperationGetKHopNeighborsEdgeConditional-out-1                      0.251            0.220         0.021           1.594    
OperationGetKHopNeighbors-out-2                                     0.118            0.105         0.020           0.439    
OperationGetKHopNeighborsEdgeConditional-out-2                      0.408            0.280         0.020           0.987    
OperationGetKHopNeighbors-out-3                                     0.123            0.124         0.020           0.526    
OperationGetKHopNeighborsEdgeConditional-out-3                      0.406            0.253         0.022           1.168    
OperationGetKHopNeighbors-out-4                                     0.125            0.090         0.025           0.454    
OperationGetKHopNeighborsEdgeConditional-out-4                      0.415            0.287         0.022           1.341    
OperationGetKHopNeighbors-out-5                                     0.168            0.107         0.019           0.592    
OperationGetKHopNeighborsEdgeConditional-out-5                      0.333            0.247         0.021           1.118    
OperationGetKHopNeighbors-in-1                                      0.030            0.006         0.021           0.068    
OperationGetKHopNeighborsEdgeConditional-in-1                       0.132            0.116         0.022           0.600    
OperationGetKHopNeighbors-in-2                                      0.045            0.034         0.021           0.231    
OperationGetKHopNeighborsEdgeConditional-in-2                       0.190            0.127         0.021           0.547    
OperationGetKHopNeighbors-in-3                                      0.068            0.044         0.021           0.302    
OperationGetKHopNeighborsEdgeConditional-in-3                       0.240            0.152         0.022           0.658    
OperationGetKHopNeighbors-in-4                                      0.109            0.059         0.020           0.337    
OperationGetKHopNeighborsEdgeConditional-in-4                       0.264            0.164         0.022           0.773    
OperationGetKHopNeighbors-in-5                                      0.221            0.136         0.020           0.593    
OperationGetKHopNeighborsEdgeConditional-in-5                       0.261            0.147         0.021           0.639    
OperationGetKHopNeighbors-both-1                                    0.026            0.004         0.020           0.035    
OperationGetKHopNeighborsEdgeConditional-both-1                     0.150            0.096         0.053           0.583    
OperationGetKHopNeighbors-both-2                                    0.057            0.014         0.028           0.110    
OperationGetKHopNeighborsEdgeConditional-both-2                     0.233            0.137         0.088           0.838    
OperationGetKHopNeighbors-both-3                                    0.156            0.056         0.054           0.298    
OperationGetKHopNeighborsEdgeConditional-both-3                     0.253            0.124         0.078           0.692    
OperationGetKHopNeighbors-both-4                                    0.494            0.210         0.097           1.034    
OperationGetKHopNeighborsEdgeConditional-both-4                     0.264            0.109         0.091           0.676    
OperationGetKHopNeighbors-both-5                                    1.541            0.460         0.305           2.281    
OperationGetKHopNeighborsEdgeConditional-both-5                     0.331            0.116         0.150           0.754    
OperationGetKHopNeighbors-out-withlabel-1                           0.026            0.008         0.019           0.073    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-1            0.076            0.038         0.021           0.306    
OperationGetKHopNeighbors-out-withlabel-2                           0.035            0.010         0.019           0.076    
