"operation","neo-mean","neo-stdev","neo-min","neo-max"
"OperationOpenGraph","2.81319165E8","0.0","2.81319165E8","2.81319165E8"
"OperationDoGC","1.4981986868333333E9","7659366.229372674","1.490130229E9","1.521913319E9"
"OperationGetManyVertices","28679.08","11205.030660984374","21253.0","108634.0"
"OperationGetManyEdges","26612.0","5440.51595163547","13284.0","63116.0"
"OperationGetFirstNeighbor-out","269918.87","77454.04344882905","52427.0","385382.0"
"OperationGetAllNeighbors-out","276812.23","96794.0724400885","47068.0","455121.0"
"OperationGetNeighborEdgeConditional-out","559578.84","250070.50202339815","64261.0","1286174.0"
"OperationGetFirstNeighbor-in","218818.74","97955.20839624816","54194.0","370408.0"
"OperationGetAllNeighbors-in","208426.09","111365.6540437037","47342.0","413994.0"
"OperationGetNeighborEdgeConditional-in","461085.01","231717.04561311394","55146.0","1190136.0"
"OperationGetFirstNeighbor-both","171885.13","107157.49600766669","56653.0","365321.0"
"OperationGetAllNeighbors-both","224686.83","116201.94739082949","70607.0","474438.0"
"OperationGetNeighborEdgeConditional-both","617745.69","319085.0637087138","95851.0","1468845.0"
"OperationGetManyVertexProperties-name","1243407.12","2313662.8405327536","102108.0","1.2216408E7"
"OperationGetManyVertexProperties-age","121165.53","40226.296205456194","79919.0","226532.0"
"OperationGetManyEdgeProperties-time","1568933.41","1245101.4164703137","294381.0","5104427.0"
"OperationGetManyVertexPropertySets","186005.47","49716.12459503556","116076.0","259593.0"
"OperationGetManyEdgePropertySets","159004.59","100778.65439001407","78642.0","482808.0"
"OperationShutdownGraph","3.11383621E8","0.0","3.11383621E8","3.11383621E8"
