"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","143902003","DONE","51829335","0","0"
"2","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1489264238","DONE","34188615","8","1"
"3","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1492468725","DONE","34336103","8","0"
"1","OperationAddManyVertices","com.tinkerpop.bench.operation.operations.OperationAddManyVertices$Neo","[100]","141090364","100","34335847","0","0"
"5","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1484183499","DONE","34557591","8","1"
"6","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1478871189","DONE","34557495","8","0"
"4","OperationSetManyVertexProperties","com.tinkerpop.bench.operation.operations.OperationSetManyVertexProperties$Neo","[_property, 100]","135181133","100","34557239","0","0"
"8","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1484755154","DONE","34535223","8","1"
"9","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1485084188","DONE","34535039","8","0"
"7","OperationAddManyEdges","com.tinkerpop.bench.operation.operations.OperationAddManyEdges$Neo","[100]","77668113","100","34534751","0","0"
"11","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1477387900","DONE","34565407","8","0"
"12","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1474481848","DONE","34565359","8","1"
"10","OperationSetManyEdgeProperties","com.tinkerpop.bench.operation.operations.OperationSetManyEdgeProperties$Neo","[_property, 100]","83664002","100","34565103","0","0"
"13","OperationShutdownGraph","com.tinkerpop.bench.operation.OperationShutdownGraph","[]","999975940","DONE","37161135","0","0"
"14","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1484695305","DONE","32614375","8","0"
