"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","118792271","DONE","40632951","0","0"
"2","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1513660267","DONE","34067671","8","0"
"3","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1481851197","DONE","34215159","8","1"
"1","OperationCreateKeyIndex-vertex-name","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[vertex, name]","521134913","DONE","52366471","0","0"
"5","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1500151476","DONE","34702287","8","0"
"6","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1488507209","DONE","34702303","8","1"
"4","OperationCreateKeyIndex-vertex-age","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[vertex, age]","415438555","DONE","50065919","0","0"
"8","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1496906016","DONE","34716047","8","1"
"9","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1486990885","DONE","34716239","8","0"
"7","OperationCreateKeyIndex-edge-time","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[edge, time]","904500600","DONE","78709343","0","0"
"10","OperationShutdownGraph","com.tinkerpop.bench.operation.OperationShutdownGraph","[]","1701256440","DONE","81509447","0","0"
"11","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1477917228","DONE","21810671","8","1"
