"operation","neo-mean","neo-stdev","neo-min","neo-max"
"OperationOpenGraph","2.71525941E8","0.0","2.71525941E8","2.71525941E8"
"OperationDoGC","1.5001618824731183E9","4618547.410743725","1.489909493E9","1.523980875E9"
"OperationGetManyVertices","38636.0","0.0","38636.0","38636.0"
"OperationGetManyEdges","75786.0","0.0","75786.0","75786.0"
"OperationGetFirstNeighbor-out","218293.46","72542.7543030205","28443.0","328151.0"
"OperationGetAllNeighbors-out","230909.88","96075.94637892253","33551.0","360216.0"
"OperationGetNeighborEdgeConditional-out","523588.63","243760.95707211416","75007.0","1090520.0"
"OperationGetFirstNeighbor-in","196234.61","116925.2337997145","28799.0","393492.0"
"OperationGetAllNeighbors-in","174366.42","117528.3152781643","30427.0","432903.0"
"OperationGetNeighborEdgeConditional-in","448215.34","218891.09143659638","29316.0","964134.0"
"OperationGetFirstNeighbor-both","142676.71","116837.8768671611","28472.0","359406.0"
"OperationGetAllNeighbors-both","145009.62","107715.4961535043","33105.0","361597.0"
"OperationGetNeighborEdgeConditional-both","531427.6","299847.95300858724","64939.0","1415670.0"
"OperationGetFirstNeighbor-out-withlabel","101028.64","105590.9168348793","25721.0","327143.0"
"OperationGetAllNeighbors-out-withlabel","102444.49","92883.53226492788","28693.0","346259.0"
"OperationGetNeighborEdgeConditional-out-withlabel","266714.23","202079.72523693988","31030.0","883803.0"
"OperationGetFirstNeighbor-in-withlabel","88606.87","90182.52467908125","31279.0","329053.0"
"OperationGetAllNeighbors-in-withlabel","104502.88","105526.48689265459","30492.0","340745.0"
"OperationGetNeighborEdgeConditional-in-withlabel","263355.38","199690.393981322","33008.0","829807.0"
"OperationGetFirstNeighbor-both-withlabel","96548.01","105643.51973949891","31736.0","430611.0"
"OperationGetAllNeighbors-both-withlabel","97565.46","104228.83233006309","33079.0","390058.0"
"OperationGetNeighborEdgeConditional-both-withlabel","310819.9","218564.39950131404","31916.0","1021118.0"
"OperationGetKHopNeighbors-out-1","75995.68","93174.48825465907","26419.0","408305.0"
"OperationGetKHopNeighborsEdgeConditional-out-1","286868.4","227830.84744344867","27657.0","1069939.0"
"OperationGetKHopNeighbors-out-2","112494.44","114172.36157225796","28101.0","488790.0"
"OperationGetKHopNeighborsEdgeConditional-out-2","396529.41","253142.81132625893","25231.0","1158377.0"
"OperationGetKHopNeighbors-out-3","162905.74","119224.663954873","28862.0","459432.0"
"OperationGetKHopNeighborsEdgeConditional-out-3","410770.91","279364.1340219641","27606.0","1154606.0"
"OperationGetKHopNeighbors-out-4","150892.59","110660.28303624525","32386.0","626225.0"
"OperationGetKHopNeighborsEdgeConditional-out-4","268016.5","215011.42136274994","24402.0","963160.0"
"OperationGetKHopNeighbors-out-5","207409.17","146034.7609653301","19814.0","708363.0"
"OperationGetKHopNeighborsEdgeConditional-out-5","264444.27","256513.9599880621","18456.0","1252143.0"
"OperationGetKHopNeighbors-in-1","30264.73","13559.13632194544","20619.0","149271.0"
"OperationGetKHopNeighborsEdgeConditional-in-1","136807.1","99896.60592247367","20419.0","388858.0"
