"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","398522170","DONE","29697624","0","0"
"2","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1448670103","DONE","32625463","8","0"
"3","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1453461247","DONE","32779983","8","1"
"1","OperationCreateKeyIndex-vertex-name","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[vertex, name]","1166775453","DONE","59503007","0","0"
"5","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1524509861","DONE","33527151","8","0"
"6","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1479076933","DONE","33527135","8","1"
"4","OperationCreateKeyIndex-vertex-age","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[vertex, age]","607713329","DONE","49737239","0","0"
"8","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1511825480","DONE","33544407","8","1"
"9","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1482198895","DONE","33544391","8","0"
"7","OperationCreateKeyIndex-edge-time","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[edge, time]","1059155144","DONE","75480823","0","0"
"10","OperationShutdownGraph","com.tinkerpop.bench.operation.OperationShutdownGraph","[]","1809698170","DONE","77538231","0","0"
"11","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1478909835","DONE","21812575","8","1"
