"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","592632296","DONE","30217856","0","0"
"8341","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1526017805","DONE","36269943","8","0"
"8342","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1502465316","DONE","36363327","8","1"
"1","OperationGetManyVertices","com.tinkerpop.bench.operation.operations.OperationGetManyVertices$Neo","[100]","245215","100","36770815","0","0"
"8343","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1488591401","DONE","36363487","8","0"
"2","OperationGetManyEdges","com.tinkerpop.bench.operation.operations.OperationGetManyEdges$Neo","[100]","394891","100","36770927","0","0"
"8344","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1480661366","DONE","36363599","8","0"
"3","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[969, OUT]","8391995","1:1:1:1","36771039","0","0"
"4","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[339, OUT]","243704","1:1:1:1","36776535","0","0"
"5","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[514, OUT]","198223","1:1:1:1","36776823","0","0"
"6","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[315, OUT]","226835","1:1:1:1","36777111","0","0"
"7","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[571, OUT]","192125","1:1:1:1","36777463","0","0"
"8","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[707, OUT]","380680","1:1:1:1","36777679","0","0"
"9","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[174, OUT]","369067","1:1:1:1","36777983","0","0"
"10","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[972, OUT]","301343","1:1:1:1","36778279","0","0"
"11","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[159, OUT]","368009","1:1:1:1","36778559","0","0"
"12","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[626, OUT]","220487","1:1:1:1","36778863","0","0"
"13","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[507, OUT]","188151","1:1:1:1","36779207","0","0"
"14","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[963, OUT]","216406","1:1:1:1","36779415","0","0"
"15","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[782, OUT]","207705","1:1:1:1","36779671","0","0"
"16","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[759, OUT]","232197","1:1:1:1","36779959","0","0"
"17","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[788, OUT]","194035","1:1:1:1","36780247","0","0"
"18","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[491, OUT]","237520","1:1:1:1","36780527","0","0"
"19","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[208, OUT]","371555","1:1:1:1","36780823","0","0"
"20","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[340, OUT]","364219","1:1:1:1","36781175","0","0"
"21","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[53, OUT]","213247","1:1:1:1","36781519","0","0"
"22","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[774, OUT]","225448","1:1:1:1","36781799","0","0"
"23","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[53, OUT]","62205","1:1:1:1","36782103","0","0"
"24","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[173, OUT]","204154","1:1:1:1","36782167","0","0"
"25","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[798, OUT]","313799","1:1:1:1","36782447","0","0"
"26","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[841, OUT]","329375","1:1:1:1","36782687","0","0"
"27","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[176, OUT]","309870","1:1:1:1","36782975","0","0"
"28","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[228, OUT]","381600","1:1:1:1","36783255","0","0"
"29","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[315, OUT]","88882","1:1:1:1","36783599","0","0"
"30","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[658, OUT]","367452","1:1:1:1","36783663","0","0"
"31","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[193, OUT]","393663","1:1:1:1","36783967","0","0"
"32","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[488, OUT]","351929","1:1:1:1","36784271","0","0"
"33","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[317, OUT]","351085","1:1:1:1","36784615","0","0"
"34","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[923, OUT]","319181","1:1:1:1","36784911","0","0"
"35","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[376, OUT]","337097","1:1:1:1","36785199","0","0"
"36","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[826, OUT]","351790","1:1:1:1","36785535","0","0"
"37","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[535, OUT]","318094","1:1:1:1","36785831","0","0"
"38","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[231, OUT]","387462","1:1:1:1","36786119","0","0"
"39","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[656, OUT]","299198","1:1:1:1","36786471","0","0"
"40","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[964, OUT]","1254731","0:1:1:0","36786711","0","0"
"41","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[845, OUT]","369526","1:1:1:1","36782935","0","0"
"42","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[833, OUT]","386582","1:1:1:1","36783239","0","0"
"43","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[420, OUT]","338510","1:1:1:1","36783535","0","0"
"44","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[468, OUT]","359041","1:1:1:1","36783831","0","0"
"45","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[984, OUT]","318363","1:1:1:1","36784175","0","0"
"46","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[464, OUT]","369004","1:1:1:1","36784463","0","0"
"47","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[194, OUT]","212265","1:1:1:1","36784767","0","0"
"48","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[496, OUT]","428256","1:1:1:1","36785111","0","0"
"49","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[210, OUT]","288933","0:1:1:0","36785463","0","0"
"50","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[437, OUT]","337128","1:1:1:1","36785703","0","0"
"51","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[188, OUT]","385171","1:1:1:1","36786039","0","0"
"52","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[370, OUT]","220364","1:1:1:1","36786335","0","0"
"53","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[348, OUT]","204422","1:1:1:1","36786639","0","0"
"54","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[634, OUT]","205232","1:1:1:1","36786927","0","0"
"55","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[281, OUT]","353150","1:1:1:1","36787263","0","0"
"56","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[610, OUT]","323332","1:1:1:1","36787487","0","0"
"57","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[607, OUT]","279389","0:1:1:0","36787727","0","0"
"58","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[227, OUT]","327554","1:1:1:1","36787959","0","0"
"59","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[5, OUT]","248134","1:1:1:1","36788207","0","0"
"60","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[797, OUT]","190741","1:1:1:1","36788495","0","0"
"61","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[95, OUT]","242613","1:1:1:1","36788735","0","0"
"62","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[525, OUT]","327423","1:1:1:1","36789095","0","0"
"63","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[652, OUT]","450176","1:1:1:1","36789383","0","0"
"64","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[747, OUT]","312569","1:1:1:1","36789751","0","0"
"65","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[834, OUT]","213027","1:1:1:1","36789959","0","0"
"66","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[305, OUT]","210487","1:1:1:1","36790191","0","0"
"67","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[584, OUT]","228922","1:1:1:1","36790487","0","0"
"68","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[952, OUT]","205564","1:1:1:1","36790831","0","0"
"69","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[243, OUT]","231327","1:1:1:1","36791079","0","0"
"70","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[810, OUT]","352840","1:1:1:1","36791431","0","0"
"71","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[814, OUT]","349997","1:1:1:1","36791663","0","0"
"72","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[659, OUT]","387882","1:1:1:1","36792007","0","0"
"73","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[881, OUT]","355789","1:1:1:1","36792311","0","0"
"74","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[714, OUT]","317019","1:1:1:1","36792615","0","0"
"75","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[517, OUT]","334246","1:1:1:1","36792903","0","0"
