"operation","neo-mean","neo-stdev","neo-min","neo-max"
"OperationOpenGraph","3.37276874E8","0.0","3.37276874E8","3.37276874E8"
"OperationDoGC","2.417561648064516E9","2.3857810267929116E8","1.538467119E9","2.652279558E9"
"OperationGetManyVertices","264160.0","0.0","264160.0","264160.0"
"OperationGetManyEdges","377559.0","0.0","377559.0","377559.0"
"OperationGetFirstNeighbor-out","188946.26","54177.94550379702","99843.0","358973.0"
"OperationGetAllNeighbors-out","169255.46","47006.31988922766","114643.0","455359.0"
"OperationGetNeighborEdgeConditional-out","9387376.7","5456792.395357947","805872.0","2.9246774E7"
"OperationGetFirstNeighbor-in","195537.6","61767.40373821778","99913.0","677112.0"
"OperationGetAllNeighbors-in","174608.5","38451.422138459326","96883.0","440377.0"
"OperationGetNeighborEdgeConditional-in","3.903436199E7","1.7034753005458936E7","5273356.0","9.1617729E7"
"OperationGetFirstNeighbor-both","165276.2","32837.05942072158","79673.0","260555.0"
"OperationGetAllNeighbors-both","173937.12","46528.1829764026","82648.0","521544.0"
"OperationGetNeighborEdgeConditional-both","4.674619033E7","2.093158732848878E7","1.2163074E7","1.16107505E8"
"OperationGetFirstNeighbor-out-withlabel","172230.99","93840.37246073729","99134.0","1006155.0"
"OperationGetAllNeighbors-out-withlabel","163525.88","36419.65453028899","83008.0","264385.0"
"OperationGetNeighborEdgeConditional-out-withlabel","9694550.4","6511441.979800887","375469.0","2.9668078E7"
"OperationGetFirstNeighbor-in-withlabel","148048.05","25442.432714021277","86087.0","225357.0"
"OperationGetAllNeighbors-in-withlabel","166305.16","50063.40657520621","98128.0","460729.0"
"OperationGetNeighborEdgeConditional-in-withlabel","4.011941871E7","2.4434099527495097E7","132299.0","1.79368654E8"
"OperationGetFirstNeighbor-both-withlabel","161565.53","44257.32116214331","96328.0","464651.0"
"OperationGetAllNeighbors-both-withlabel","373932.72","2121403.052962907","103028.0","2.1479505E7"
"OperationGetNeighborEdgeConditional-both-withlabel","5.007256597E7","2.030910285430279E7","1.3779351E7","1.09764388E8"
"OperationGetKHopNeighbors-out-1","502565.85","2047167.1510502037","41868.0","1.458796E7"
"OperationGetKHopNeighborsEdgeConditional-out-1","9467355.91","6065718.475785546","288016.0","3.3217052E7"
"OperationGetKHopNeighbors-out-2","1920532.63","4277713.599614516","149865.0","2.2237189E7"
"OperationGetKHopNeighborsEdgeConditional-out-2","1.746442842E7","1.1048071057842745E7","727918.0","7.7058156E7"
"OperationGetKHopNeighbors-out-3","8015413.42","8709665.696770785","100277.0","4.2368322E7"
"OperationGetKHopNeighborsEdgeConditional-out-3","5.193640455E7","5.75992226957973E7","101933.0","4.30487835E8"
"OperationGetKHopNeighbors-out-4","5.625603024E7","4.526519548686769E7","64661.0","2.75395426E8"
"OperationGetKHopNeighborsEdgeConditional-out-4","3.552773664E7","1.584056633138368E7","81928.0","9.153862E7"
"OperationGetKHopNeighbors-out-5","3.577929619E7","2.4567543811280515E7","5421667.0","1.63801135E8"
"OperationGetKHopNeighborsEdgeConditional-out-5","4.039817588E7","1.470054031327119E7","17624.0","8.6751657E7"
"OperationGetKHopNeighbors-in-1","63021.27","17717.347040601202","17285.0","119823.0"
"OperationGetKHopNeighborsEdgeConditional-in-1","3.831727866E7","2.1996329766795453E7","2716928.0","1.14987436E8"
"OperationGetKHopNeighbors-in-2","225283.74","91477.13401376542","36926.0","526783.0"
"OperationGetKHopNeighborsEdgeConditional-in-2","7.352113397E7","2.3975159376916792E7","2.2854184E7","1.45677222E8"
"OperationGetKHopNeighbors-in-3","1556564.2","4154654.449727652","22338.0","4.2605409E7"
"OperationGetKHopNeighborsEdgeConditional-in-3","1.0417034869E8","3.3155238676450647E7","55227.0","1.91357739E8"
