"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","618053019","DONE","30648200","0","0"
"8349","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1529729412","DONE","36474663","8","0"
"8350","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1516717660","DONE","37463351","8","1"
"1","OperationGetManyVertices","com.tinkerpop.bench.operation.operations.OperationGetManyVertices$Neo","[100]","360237","100","38135775","0","0"
"8351","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1507962554","DONE","37702759","8","0"
"2","OperationGetManyEdges","com.tinkerpop.bench.operation.operations.OperationGetManyEdges$Neo","[100]","270332","100","38135887","0","0"
"8352","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1506140353","DONE","37702983","8","1"
"3","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[4416, OUT]","5786460","0:1:1:0","38135999","0","0"
"4","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[3306, OUT]","372160","1:1:1:1","38137391","0","0"
"5","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[7557, OUT]","200273","1:1:1:1","38137615","0","0"
"6","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[462, OUT]","394471","1:1:1:1","38137839","0","0"
"7","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[5285, OUT]","286322","1:1:1:1","38138095","0","0"
"8","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[3491, OUT]","274764","1:1:1:1","38138335","0","0"
"9","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[7390, OUT]","259807","1:1:1:1","38138559","0","0"
"10","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[2151, OUT]","292984","1:1:1:1","38138791","0","0"
"11","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[6923, OUT]","260312","1:1:1:1","38139031","0","0"
"12","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[7334, OUT]","301768","1:1:1:1","38139255","0","0"
"13","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[1001, OUT]","230271","1:1:1:1","38139495","0","0"
"14","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[5665, OUT]","187893","1:1:1:1","38139751","0","0"
"15","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[3788, OUT]","187130","1:1:1:1","38139983","0","0"
"16","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[6561, OUT]","178607","1:1:1:1","38140215","0","0"
"17","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[4486, OUT]","346069","1:1:1:1","38140431","0","0"
"18","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[7839, OUT]","156829","1:1:1:1","38140671","0","0"
"19","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[6887, OUT]","188551","1:1:1:1","38140879","0","0"
"20","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[1137, OUT]","213955","0:1:1:0","38141111","0","0"
"21","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[5643, OUT]","228353","1:1:1:1","38141295","0","0"
"22","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[3657, OUT]","285446","1:1:1:1","38141575","0","0"
"23","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[5834, OUT]","272669","1:1:1:1","38141807","0","0"
"24","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[5475, OUT]","326024","1:1:1:1","38142031","0","0"
"25","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[6068, OUT]","296173","1:1:1:1","38142287","0","0"
"26","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[6943, OUT]","263926","1:1:1:1","38142519","0","0"
"27","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[2201, OUT]","294856","1:1:1:1","38142735","0","0"
"28","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[1820, OUT]","287811","1:1:1:1","38142927","0","0"
"29","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[4379, OUT]","271578","1:1:1:1","38143159","0","0"
"30","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[224, OUT]","295977","1:1:1:1","38143383","0","0"
"31","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[7468, OUT]","272648","1:1:1:1","38143615","0","0"
"32","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[5064, OUT]","268802","1:1:1:1","38143855","0","0"
"33","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[5882, OUT]","267271","1:1:1:1","38144079","0","0"
"34","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[6819, OUT]","301407","1:1:1:1","38144303","0","0"
"35","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[7861, OUT]","218031","0:1:1:0","38144527","0","0"
"36","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[4275, OUT]","278086","1:1:1:1","38144687","0","0"
"37","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[6654, OUT]","266592","1:1:1:1","38144919","0","0"
"38","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[1641, OUT]","340456","1:1:1:1","38145095","0","0"
"39","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[7645, OUT]","279415","1:1:1:1","38145335","0","0"
"40","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[429, OUT]","273957","1:1:1:1","38145583","0","0"
"41","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[4266, OUT]","272430","1:1:1:1","38145807","0","0"
"42","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[3341, OUT]","279983","1:1:1:1","38146031","0","0"
"43","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[3704, OUT]","313991","1:1:1:1","38146263","0","0"
"44","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[6379, OUT]","273546","1:1:1:1","38146487","0","0"
"45","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[7817, OUT]","257249","1:1:1:1","38146711","0","0"
"46","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[5756, OUT]","272053","1:1:1:1","38146935","0","0"
"47","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[1347, OUT]","201626","1:1:1:1","38147159","0","0"
"48","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[6653, OUT]","193409","1:1:1:1","38147407","0","0"
"49","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[1974, OUT]","193364","1:1:1:1","38147639","0","0"
"50","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[4628, OUT]","267329","1:1:1:1","38147879","0","0"
"51","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[4865, OUT]","312560","1:1:1:1","38148103","0","0"
"52","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[325, OUT]","304258","1:1:1:1","38148351","0","0"
"53","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[2483, OUT]","302981","1:1:1:1","38148591","0","0"
"54","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[6397, OUT]","280780","1:1:1:1","38148831","0","0"
"55","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[2115, OUT]","263882","1:1:1:1","38149055","0","0"
"56","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[1856, OUT]","271185","1:1:1:1","38149271","0","0"
"57","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[4075, OUT]","272327","1:1:1:1","38149495","0","0"
"58","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[1241, OUT]","175895","1:1:1:1","38149719","0","0"
"59","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[7502, OUT]","182525","1:1:1:1","38149935","0","0"
"60","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[5035, OUT]","212207","1:1:1:1","38150167","0","0"
"61","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[1332, OUT]","215293","0:1:1:0","38150423","0","0"
"62","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[643, OUT]","288598","1:1:1:1","38150607","0","0"
"63","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[3002, OUT]","227022","1:1:1:1","38150839","0","0"
"64","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[6857, OUT]","191114","1:1:1:1","38151079","0","0"
"65","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[688, OUT]","285760","1:1:1:1","38151311","0","0"
"66","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[4342, OUT]","167873","1:1:1:1","38151543","0","0"
"67","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[6157, OUT]","197557","1:1:1:1","38151759","0","0"
"68","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[3935, OUT]","193067","1:1:1:1","38151991","0","0"
"69","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[2777, OUT]","288715","1:1:1:1","38152223","0","0"
"70","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[6928, OUT]","185447","1:1:1:1","38152471","0","0"
"71","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[7922, OUT]","163148","1:1:1:1","38152711","0","0"
"72","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[3079, OUT]","164985","0:1:1:0","38152927","0","0"
"73","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[7960, OUT]","166699","1:1:1:1","38153103","0","0"
"74","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$Neo","[5332, OUT]","312568","1:1:1:1","38153335","0","0"
