operation                                                   neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                                394.529            0.000       394.529         394.529    
OperationDoGC                                                    2405.560          224.980      1542.108        2682.637    
OperationGetManyVertices                                            0.225            0.000         0.225           0.225    
OperationGetManyEdges                                               0.190            0.000         0.190           0.190    
OperationGetFirstNeighbor-out                                       0.546            2.269         0.125          18.221    
OperationGetAllNeighbors-out                                        0.236            0.065         0.110           0.610    
OperationGetNeighborEdgeConditional-out                            16.186           11.444         0.197         101.405    
OperationGetFirstNeighbor-in                                        0.213            0.050         0.121           0.509    
OperationGetAllNeighbors-in                                         0.176            0.040         0.100           0.429    
OperationGetNeighborEdgeConditional-in                             41.142           23.310         2.294         145.017    
OperationGetFirstNeighbor-both                                      0.504            2.390         0.100          20.896    
OperationGetAllNeighbors-both                                       0.482            2.260         0.105          21.120    
OperationGetNeighborEdgeConditional-both                           60.078           31.398         9.944         230.393    
OperationGetFirstNeighbor-out-withlabel                             0.159            0.046         0.099           0.477    
OperationGetAllNeighbors-out-withlabel                              0.373            2.112         0.097          21.380    
OperationGetNeighborEdgeConditional-out-withlabel                   8.249            6.100         0.094          22.976    
OperationGetFirstNeighbor-in-withlabel                              0.316            1.615         0.033          16.379    
OperationGetAllNeighbors-in-withlabel                               0.169            0.081         0.098           0.914    
OperationGetNeighborEdgeConditional-in-withlabel                   19.327           14.753         0.102          76.247    
OperationGetFirstNeighbor-both-withlabel                            0.347            1.741         0.102          17.670    
OperationGetAllNeighbors-both-withlabel                             0.184            0.047         0.113           0.550    
OperationGetNeighborEdgeConditional-both-withlabel                 27.097           14.663         0.199          76.621    
OperationGetKHopNeighbors-out-1                                     0.157            0.051         0.094           0.520    
OperationGetKHopNeighborsEdgeConditional-out-1                     16.478           10.521         0.142          60.884    
OperationGetKHopNeighbors-out-2                                     0.774            1.702         0.167          17.480    
OperationGetKHopNeighborsEdgeConditional-out-2                     30.775           13.883        11.199          91.416    
OperationGetKHopNeighbors-out-3                                     3.596            4.038         0.500          26.930    
OperationGetKHopNeighborsEdgeConditional-out-3                     40.824           18.145         0.091         111.055    
OperationGetKHopNeighbors-out-4                                     9.122            5.853         0.021          34.957    
OperationGetKHopNeighborsEdgeConditional-out-4                     55.554           20.777        10.429         158.889    
OperationGetKHopNeighbors-out-5                                    32.674           16.582         0.041          94.858    
OperationGetKHopNeighborsEdgeConditional-out-5                     66.713           21.063         0.056         124.194    
OperationGetKHopNeighbors-in-1                                      0.066            0.017         0.026           0.104    
OperationGetKHopNeighborsEdgeConditional-in-1                      41.608           23.223         0.042         113.007    
OperationGetKHopNeighbors-in-2                                      0.316            0.135         0.086           0.634    
OperationGetKHopNeighborsEdgeConditional-in-2                      65.760           24.832        12.964         141.578    
OperationGetKHopNeighbors-in-3                                      1.713            3.718         0.261          38.322    
OperationGetKHopNeighborsEdgeConditional-in-3                      93.911           30.690        28.357         169.647    
OperationGetKHopNeighbors-in-4                                      7.823            5.251         0.054          45.724    
OperationGetKHopNeighborsEdgeConditional-in-4                     119.562           37.584        23.305         239.016    
OperationGetKHopNeighbors-in-5                                     33.439           15.063         0.058          95.449    
OperationGetKHopNeighborsEdgeConditional-in-5                     132.942           38.025        51.633         276.154    
OperationGetKHopNeighbors-both-1                                    0.078            0.037         0.039           0.373    
OperationGetKHopNeighborsEdgeConditional-both-1                    39.843           18.641         3.597         101.116    
OperationGetKHopNeighbors-both-2                                    0.505            0.170         0.160           0.937    
OperationGetKHopNeighborsEdgeConditional-both-2                    64.303           21.082        22.102         119.060    
OperationGetKHopNeighbors-both-3                                    5.816            3.880         2.234          40.594    
OperationGetKHopNeighborsEdgeConditional-both-3                    73.185           32.634        23.254         153.449    
OperationGetKHopNeighbors-both-4                                   51.730           17.278        23.265          95.450    
OperationGetKHopNeighborsEdgeConditional-both-4                    68.269           28.236         8.137         131.448    
OperationGetKHopNeighbors-both-5                                  846.468          302.511       283.001        1669.938    
OperationGetKHopNeighborsEdgeConditional-both-5                    57.878           23.175        14.835         125.998    
OperationGetKHopNeighbors-out-withlabel-1                           0.076            0.019         0.029           0.142    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-1            3.134            6.202         0.016          30.202    
OperationGetKHopNeighbors-out-withlabel-2                           0.223            0.128         0.056           0.688    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-2            5.744            8.370         0.047          41.376    
OperationGetKHopNeighbors-out-withlabel-3                           0.484            0.286         0.054           1.140    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-3            9.349           10.853         0.026          54.707    
OperationGetKHopNeighbors-out-withlabel-4                           1.773            2.480         0.077          24.816    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-4           10.485           11.669         0.045          68.946    
OperationGetKHopNeighbors-out-withlabel-5                           4.215            4.518         0.051          38.972    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-5           11.004           14.486         0.012          87.543    
OperationGetKHopNeighbors-in-withlabel-1                            0.070            0.044         0.018           0.473    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-1             8.017           10.514         0.013          53.609    
OperationGetKHopNeighbors-in-withlabel-2                            0.197            0.101         0.022           0.640    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-2            13.109           15.273         0.023          63.717    
OperationGetKHopNeighbors-in-withlabel-3                            0.433            0.206         0.059           1.007    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-3            18.932           19.466         0.038         136.518    
OperationGetKHopNeighbors-in-withlabel-4                            1.498            2.935         0.052          29.950    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-4            17.488           15.479         0.042          93.486    
OperationGetKHopNeighbors-in-withlabel-5                            4.191            3.614         0.021          29.810    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-5            19.245           16.938         0.050          85.224    
OperationGetKHopNeighbors-both-withlabel-1                          0.062            0.033         0.018           0.275    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-1           6.400            9.676         0.086          45.093    
OperationGetKHopNeighbors-both-withlabel-2                          0.290            0.128         0.034           0.612    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-2          10.696           12.204         0.184          58.292    
OperationGetKHopNeighbors-both-withlabel-3                          1.787            3.343         0.017          34.469    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-3          10.940           12.755         0.254          50.876    
OperationGetKHopNeighbors-both-withlabel-4                          8.003            4.532         1.037          33.931    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-4           9.778           12.474         0.176          48.073    
OperationGetKHopNeighbors-both-withlabel-5                         40.795           19.610         0.033          98.818    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-5           5.209            8.186         0.201          30.853    
OperationGetManyVertexProperties-name                             596.146            0.000       596.146         596.146    
OperationGetManyVertexProperties-age                              650.954            0.000       650.954         650.954    
OperationGetManyEdgeProperties-time                               153.233            0.000       153.233         153.233    
OperationGetManyVertexPropertySets                                420.732            0.000       420.732         420.732    
OperationGetManyEdgePropertySets                                   96.456            0.000        96.456          96.456    
OperationGetVerticesUsingKeyIndex-_original_id                     29.627           47.350         0.394         461.980    
OperationGetVerticesUsingKeyIndex-name                             35.255           37.886         0.584         157.120    
OperationGetVerticesUsingKeyIndex-age                              96.505           79.227        75.496         595.929    
OperationGetEdgesUsingKeyIndex-time                               218.214          635.213         3.825        4893.292    
OperationGetShortestPath                                        15297.613         9736.804       358.231       32341.143    
OperationLocalClusteringCoefficient                                 0.582            0.182         0.265           1.161    
OperationShutdownGraph                                           1958.910            0.000      1958.910        1958.910    
