operation                                   neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                329.590            0.000       329.590         329.590    
OperationDoGC                                    2093.016          185.991      1529.047        2203.831    
OperationGetManyVertices                            0.088            0.034         0.049           0.325    
OperationGetManyEdges                               0.207            0.035         0.136           0.301    
OperationGetFirstNeighbor-out                       0.339            0.085         0.169           0.728    
OperationGetAllNeighbors-out                        0.376            0.073         0.182           0.711    
OperationGetNeighborEdgeConditional-out             5.445            7.116         0.177          30.798    
OperationGetFirstNeighbor-in                        0.192            0.043         0.129           0.369    
OperationGetAllNeighbors-in                         0.224            0.054         0.143           0.424    
OperationGetNeighborEdgeConditional-in             18.377           14.778         0.210          84.518    
OperationGetFirstNeighbor-both                      0.210            0.051         0.137           0.360    
OperationGetAllNeighbors-both                       0.275            0.051         0.158           0.544    
OperationGetNeighborEdgeConditional-both           20.522           14.730         0.227          86.211    
OperationGetManyVertexProperties-name              38.630           40.227         0.753         187.213    
OperationGetManyVertexProperties-age                2.548            6.065         0.505          38.924    
OperationGetManyEdgeProperties-time               193.210           39.952       113.008         319.759    
OperationGetManyVertexPropertySets                  2.389            3.761         0.615          26.512    
OperationGetManyEdgePropertySets                   68.708           60.490         0.603         284.989    
OperationShutdownGraph                           2327.196            0.000      2327.196        2327.196    
