"operation","neo-mean","neo-stdev","neo-min","neo-max"
"OperationOpenGraph","5.14189682E8","0.0","5.14189682E8","5.14189682E8"
"OperationDoGC","2.0676510521666667E9","1.8080502776744348E8","1.525891489E9","2.211350758E9"
"OperationGetManyVertices","302025.85","70757.11058478504","164269.0","608468.0"
"OperationGetManyEdges","442625.51","77444.65790543529","260893.0","580372.0"
"OperationGetFirstNeighbor-out","338286.31","89163.8343234178","164963.0","623360.0"
"OperationGetAllNeighbors-out","348391.36","90859.8372141971","167258.0","669907.0"
"OperationGetNeighborEdgeConditional-out","8464659.94","5578286.0777190225","337198.0","2.7433914E7"
"OperationGetFirstNeighbor-in","234254.97","65815.81152708748","133805.0","565907.0"
"OperationGetAllNeighbors-in","302290.79","71131.6695595281","145272.0","502488.0"
"OperationGetNeighborEdgeConditional-in","4.805447839E7","2.59914437893395E7","221765.0","1.24989936E8"
"OperationGetFirstNeighbor-both","243680.25","71891.0195272504","151858.0","646672.0"
"OperationGetAllNeighbors-both","342328.43","72202.53697970106","166308.0","619355.0"
"OperationGetNeighborEdgeConditional-both","5.585191187E7","2.4932375990995903E7","3715003.0","1.31397794E8"
"OperationGetManyVertexProperties-name","3.6465667182E8","1.548779684677017E8","1.18809129E8","7.32699092E8"
"OperationGetManyVertexProperties-age","5.782473265E7","4.0645131714118354E7","1878470.0","2.07585232E8"
"OperationGetManyEdgeProperties-time","6.2287647393E8","3.96879320300557E7","5.44233761E8","7.59076932E8"
"OperationGetManyVertexPropertySets","1.110218727E7","1.562610918151656E7","652183.0","1.00765244E8"
"OperationGetManyEdgePropertySets","4.5714311645E8","1.1181828537361428E8","2.20078086E8","7.93307976E8"
"OperationShutdownGraph","2.4237184E9","0.0","2.4237184E9","2.4237184E9"
