"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","1024270371","DONE","29700896","0","0"
"2","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1501954767","DONE","32625039","8","0"
"3","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1472530696","DONE","34090983","8","1"
"1","OperationCreateKeyIndex-vertex-name","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[vertex, name]","4980057240","DONE","80701375","2","20"
"5","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1532101552","DONE","36468247","8","0"
"6","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1512167213","DONE","36468119","8","0"
"4","OperationCreateKeyIndex-vertex-age","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[vertex, age]","2039401122","DONE","60949543","2","6"
"8","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1538518204","DONE","36490463","8","1"
"9","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1513961255","DONE","36490479","8","0"
"7","OperationCreateKeyIndex-edge-time","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[edge, time]","5555336657","DONE","77272687","7","36"
"10","OperationShutdownGraph","com.tinkerpop.bench.operation.OperationShutdownGraph","[]","3231114826","DONE","85665015","0","0"
"11","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1486826838","DONE","21818391","8","1"
